Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  deleted_Columns  
1  7  7  1  0.0987299374174328  0  
2  13  6  1  0.1629367814722553  0  
3  19  6  1  0.1954941632365020  0  
4  24  5  1  0.1423240588818870  0  
5  29  5  1  0.2306854523748430  0  
6  33  4  1  0.2069780878582604  0  
7  37  4  1  0.1431113536485108  1  
8  41  4  1  0.1978955097464914  1  
9  43  2  1  0.0661679777971761  0  
10  46  3  1  0.1349244491028440  1  
11  49  3  1  0.0991445879022188  2  
12  51  2  1  0.0704781539033013  0  
13  53  2  1  0.0531689261562395  0  
14  55  2  1  0.0758785820568862  0  
15  57  2  1  0.0482602633653410  0  
16  59  2  1  0.0756386717914753  0  
17  61  2  1  0.0784359329357718  0  
18  63  2  1  0.0633966612921306  0  
19  65  2  1  0.0532779402877407  0  
20  67  2  1  0.0514194816277355  0  
21  69  2  1  0.0519997079830155  0  
22  71  2  1  0.0620551948658593  0  
23  73  2  1  0.0720605670253084  0  
24  75  2  1  0.0681700039722311  0  
25  77  2  1  0.0694582518918919  0  
26  79  2  1  0.0555705587297626  0  
27  81  2  1  0.0580211747148630  0  
28  83  2  1  0.0738170444083273  0  
29  85  2  1  0.0768797978553443  0  
30  87  2  1  0.0717517670663863  0  
31  89  2  1  0.0605704449528340  0  
32  91  2  1  0.0511345142195841  0  
33  93  2  1  0.0565184221861305  0  
34  95  2  1  0.0709066412585796  0  
35  97  2  1  0.0777513733378923  0  
36  99  2  1  0.0767083976581918  0  
37  101  2  1  0.0729572740300726  0  
38  103  2  1  0.0666390601834811  0  
39  105  2  1  0.0699744291062157  0  
40  107  2  1  0.0810973069954771  0  
41  109  2  1  0.0855436621231802  0  
42  111  2  1  0.0813413561796878  0  
43  113  2  1  0.0699687137015204  0  
44  115  2  1  0.0594684764826410  0  
45  117  2  1  0.0667350998427756  0  
46  119  2  1  0.0786949222679570  0  
47  121  2  1  0.0856749241639232  0  
48  123  2  1  0.0853022857726715  0  
49  125  2  1  0.0793878090800930  0  
50  127  2  1  0.0715409541470718  0  
51  129  2  1  0.0737164991470320  0  
52  131  2  1  0.0862508376496147  0  
53  133  2  1  0.0917932161298163  0  
54  135  2  1  0.0883776874731605  0  
55  137  2  1  0.0766996143511262  0  
56  139  2  1  0.0652940196943935  0  
57  141  2  1  0.0716395909609944  0  
58  143  2  1  0.0859233895008437  0  
59  145  2  1  0.0934507475960224  0  
60  147  2  1  0.0943920457534003  0  
61  149  2  1  0.0861897391687543  0  
62  151  2  1  0.0809324220677106  0  
63  153  2  1  0.0850047192155325  0  
64  155  2  1  0.0968393319648922  0  
65  157  2  1  0.1040013284890784  0  
66  159  2  1  0.1012899926798283  0  
67  161  2  1  0.0897536778536022  0  
68  163  2  1  0.0796653261652199  0  
69  165  2  1  0.0834486615127955  0  
70  167  2  1  0.0971732588539846  0  
71  169  2  1  0.1045944965879951  0  
72  171  2  1  0.1074113765547780  0  
73  173  2  1  0.0963751714776105  0  
74  175  2  1  0.0922330379635890  0  
75  177  2  1  0.0956715143343513  0  
76  179  2  1  0.1093503225689666  0  
77  181  2  1  0.1159364013184553  0  
78  183  2  1  0.1143748034474958  0  
79  185  2  1  0.0986436364198350  0  
80  187  2  1  0.0863863154207966  0  
81  189  2  1  0.0912250647294556  0  
82  191  2  1  0.1042495062832042  0  
83  193  2  1  0.1148613738204399  0  
84  195  2  1  0.1156565696161789  0  
85  197  2  1  0.1075608731706312  0  
86  199  2  1  0.0970926057650089  0  
87  201  2  1  0.1044996416258231  0  
88  203  2  1  0.1180039404454276  0  
89  205  2  1  0.1279997531797404  0  
90  207  2  1  0.1261581230764090  0  
91  209  2  1  0.1070948503650782  0  
92  211  2  1  0.0906342822181727  0  
93  213  2  1  0.0988004489988660  0  
94  215  2  1  0.1119888394739193  0  
95  217  2  1  0.1252165895667589  0  
96  219  2  1  0.1298044018498074  0  
97  221  2  1  0.1199703534754791  0  
98  223  2  1  0.1065515864496657  0  
99  225  2  1  0.1103752651320200  0  
100  227  2  1  0.1304334451615121  0  
101  229  2  1  0.1433027271947429  0  
102  231  2  1  0.1402750379903402  0  
103  233  2  1  0.1197850647468462  0  
104  235  2  1  0.0983648647598190  0  
105  237  2  1  0.1022626842891520  0  
106  239  2  1  0.1218557663578581  0  
107  241  2  1  0.1359918853667518  0  
108  243  2  1  0.1427597322630856  0  
109  245  2  1  0.1307097702471930  0  
110  247  2  1  0.1158201035091935  0  
111  249  2  1  0.1190042392544510  0  
112  251  2  1  0.1415387160010703  0  
113  253  2  1  0.1588503902463355  0  
