Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  0.3782150640016282  1.0000000000000000  
1  2  0.5908545958611007  1.4147463535344469  
1  3  0.0048764740038188  2.1679327945732201  
1  4  0.0002078527687786  0.0483561393845251  
1  5  0.0000209298886454  0.0039257275669411  
1  6  0.0000147433312804  0.0005548521561054  
1  7  0.0000006939491721  0.0002253716215982  
1  8  0.0000000299736001  0.0000167791614624  
1  9  0.0000000000237016  0.0000001955766293  
1  10  0.0000000000010909  0.0000000003029063  
1  11  0.0000000000000669  0.0000000000191918  
1  12  0.0000000000000285  0.0000000000019329  
1  13  0.0000000000000008  0.0000000000006066  
2  1  0.1898856603366031  1.5203545437182604  
2  2  0.3269281729214571  1.2489974643816799  
2  3  0.2510461621283054  1.3765699475883006  
2  4  0.0776289560126577  1.0488428761302266  
2  5  0.0090196434014310  0.8888163918211643  
2  6  0.0006745541078445  0.0672852058090574  
2  7  0.0000180520772934  0.0054895544498581  
2  8  0.0000044357970547  0.0002436692515121  
2  9  0.0000039188846373  0.0000467768234687  
2  10  0.0000003287806047  0.0000233287054606  
2  11  0.0000000871858647  0.0000024094477639  
2  12  0.0000000491247140  0.0000002184161451  
2  13  0.0000000000000005  0.0000002818662410  
2  14  0.0000000000000005  0.0000000000000089  
3  1  0.1597278212974008  1.5203545437182586  
3  2  0.1488129897076177  1.7737808685192742  
3  3  0.2759520736754395  0.7559027395277745  
3  4  0.0718670288240963  1.8841665453023306  
3  5  0.0010967172478125  0.4648380747357532  
3  6  0.0002028181770452  0.0094138411645784  
3  7  0.0000138402590766  0.0011293513354974  
3  8  0.0000106691198794  0.0001910236094147  
3  9  0.0000014912611406  0.0000878072717256  
3  10  0.0000000108213327  0.0000103166043273  
3  11  0.0000000039736833  0.0000001102252109  
3  12  0.0000000002031106  0.0000000257581029  
3  13  0.0000000000000002  0.0000000013854380  
3  14  0.0000000000000004  0.0000000000000071  
4  1  0.1378068471859940  1.5203545437182635  
4  2  0.1296060185259410  1.8495306118288806  
4  3  0.3946746053052489  0.9074998233029222  
4  4  0.0985648148976189  2.7741361552146735  
4  5  0.0016543226709751  0.7038006233489633  
4  6  0.0001967838541192  0.0156430827985707  
4  7  0.0000928478310986  0.0025108649165511  
4  8  0.0000052289447966  0.0007892156142587  
4  9  0.0000013118873873  0.0000518030273303  
4  10  0.0000001902830372  0.0000088691602835  
4  11  0.0000000120445043  0.0000016017792279  
4  12  0.0000000116535587  0.0000001873469780  
4  13  0.0000000007790161  0.0000000982854120  
4  14  0.0000000005945265  0.0000000108594145  
4  15  0.0000000000000008  0.0000000047004126  
4  16  0.0000000000000005  0.0000000000000107  
5  1  0.1211620053815476  1.5203545437182657  
5  2  0.1176110052529485  1.7193606607344527  
5  3  0.9648653913646252  0.9822400127887060  
5  4  0.0032010989295311  16.6493735159577732  
5  5  0.0013514059380901  0.0603008381759888  
5  6  0.0003079598078185  0.0163639240812016  
5  7  0.0000974075929955  0.0033175502569873  
5  8  0.0000149742333850  0.0009486896805171  
5  9  0.0000000767823934  0.0001352738039634  
5  10  0.0000000972070081  0.0000016549506439  
5  11  0.0000000037451278  0.0000008507654803  
5  12  0.0000000015032652  0.0000000453247626  
5  13  0.0000000000000005  0.0000000135177458  
5  14  0.0000000000000002  0.0000000000000137  
6  1  0.1080968299698073  1.5203545437182646  
6  2  0.1014359592685859  1.8228950629376195  
6  3  3.7708071342838747  1.0159503734811950  
6  4  0.0763356543067223  7.6450056471209313  
6  5  0.0077069564146763  0.6204097291187686  
6  6  0.0035869838948963  0.1179092239442085  
6  7  0.0006976486434756  0.0297366922120703  
6  8  0.0000418497467714  0.0074257356159404  
6  9  0.0000121239423136  0.0005431232288479  
6  10  0.0000035553543431  0.0001578938833332  
6  11  0.0000001423358851  0.0000344083370570  
6  12  0.0000000085649206  0.0000013482963452  
6  13  0.0000000056239780  0.0000001430260755  
6  14  0.0000000002188728  0.0000000544856073  
6  15  0.0000000001803023  0.0000000040233255  
6  16  0.0000000000000002  0.0000000018172809  
6  17  0.0000000000000001  0.0000000000000050  
7  1  0.0975705446133981  1.5203545437182666  
7  2  0.0946393983251647  1.7209799585678562  
7  3  0.8132711592847746  0.9804926063429052  
7  4  0.0298888321369804  12.2362523494542224  
7  5  0.0020603637338125  0.3507806618374189  
7  6  0.0009206842456541  0.0320654720582106  
7  7  0.0000117740898823  0.0096144485541161  
7  8  0.0000164847660980  0.0002350447829783  
7  9  0.0000010525590808  0.0001695954375353  
7  10  0.0000000296830452  0.0000122329253506  
7  11  0.0000000117789417  0.0000002086559144  
7  12  0.0000000089278238  0.0000002328499604  
7  13  0.0000000011267024  0.0000000879531588  
7  14  0.0000000000000010  0.0000000125812897  
7  15  0.0000000000000009  0.0000000000000282  
