TimeWindow  Iteration  ResRel(Flux)  ResRel(Temperature)  
1  1  1.0000000000000000  1.0000000000000000  
1  2  0.5524496371374845  0.4682514438672993  
1  3  2.6517299869704267  0.9939623529188032  
1  4  5.0205223556032879  0.4765898417368476  
1  5  1.4718917949058037  0.4838125900614200  
1  6  1.3888148299768421  0.3768197483120741  
1  7  2.0025456487659778  0.1218348864425317  
1  8  0.8385893595648229  0.0577114179317606  
1  9  0.3831138463039958  0.0207971233082959  
1  10  0.1363010807599548  0.0028973893912410  
1  11  0.0142607456074856  0.0000000002744979  
1  12  0.0000000006888456  0.0000000002091623  
2  1  0.0000000000000000  0.0232176486893131  
