0.001             	 6.0536167040e-03 -6.1470739648e-05 1.3890085766e-21 	 5.9117630729e-03 -6.1456035079e-05 1.9037827904e-21 	 1.4185363114e-04 -1.4704568943e-08 -5.1477421384e-22 
0.002             	 2.3028151126e-02 -3.0333045117e-04 8.9434667902e-22 	 2.2426163886e-02 -3.0363199480e-04 1.1064706615e-21 	 6.0198724078e-04 3.0154363512e-07 -2.1212398244e-22 
0.003             	 3.4288534003e-02 -3.4455698220e-02 3.8040552704e-21 	 3.3185649931e-02 -3.4415446412e-02 4.6779547768e-21 	 1.1028840716e-03 -4.0251807927e-05 -8.7389950641e-22 
0.004             	 4.9021390251e-02 6.3395234324e-02 7.4615870103e-21 	 4.7013242478e-02 6.3357739255e-02 8.8984886927e-21 	 2.0081477731e-03 3.7495068617e-05 -1.4369016824e-21 
0.005             	 6.3911146010e-02 -8.6787489791e-02 1.0030720658e-20 	 6.0572829921e-02 -8.6730055978e-02 1.5435144135e-20 	 3.3383160891e-03 -5.7433813018e-05 -5.4044234766e-21 
0.006             	 7.9213982151e-02 1.0083773889e-01 1.6043843825e-20 	 7.4067543720e-02 1.0078165861e-01 2.1873661880e-20 	 5.1464384310e-03 5.6080284343e-05 -5.8298180555e-21 
0.007             	 9.5674434873e-02 -1.0643358018e-01 1.9085221141e-20 	 8.8254831834e-02 -1.0638077006e-01 2.9499682845e-20 	 7.4196030385e-03 -5.2810120329e-05 -1.0414461704e-20 
0.008             	 1.1006097226e-01 1.0278711461e-01 2.9332003479e-20 	 1.0011685245e-01 1.0274066762e-01 3.4865184914e-20 	 9.9441198147e-03 4.6446985041e-05 -5.5331814358e-21 
0.009             	 1.2585807107e-01 -9.3743407492e-02 3.3106641075e-20 	 1.1330509988e-01 -9.3706284436e-02 4.0768676887e-20 	 1.2552971192e-02 -3.7123055692e-05 -7.6620358114e-21 
0.011             	 1.5234212159e-01 -6.9892230179e-02 4.4638190604e-20 	 1.3570629287e-01 -6.9865845499e-02 4.5811008994e-20 	 1.6635828726e-02 -2.6384679817e-05 -1.1728183901e-21 
0.012             	 1.6355565638e-01 5.2990359578e-02 3.6383022400e-20 	 1.4580121416e-01 5.2985168463e-02 4.5912810950e-20 	 1.7754442217e-02 5.1911148759e-06 -9.5297885504e-21 
0.013             	 1.7595658009e-01 -3.4037497552e-02 4.3027837132e-20 	 1.5757611926e-01 -3.4027422232e-02 4.8544365617e-20 	 1.8380460828e-02 -1.0075319982e-05 -5.5165284851e-21 
0.014             	 1.8664393533e-01 1.3874524889e-02 4.7386495122e-20 	 1.6797074605e-01 1.3880247544e-02 4.9329167216e-20 	 1.8673189279e-02 -5.7226546757e-06 -1.9426720937e-21 
0.015             	 2.0019118941e-01 2.8494044986e-03 4.6535505318e-20 	 1.8118400020e-01 2.8399922312e-03 5.3995126890e-20 	 1.9007189216e-02 9.4122673535e-06 -7.4596215729e-21 
0.016             	 2.1307667534e-01 -1.7784649945e-02 4.6662801026e-20 	 1.9340944280e-01 -1.7773009626e-02 5.7262066437e-20 	 1.9667232544e-02 -1.1640318395e-05 -1.0599265411e-20 
0.017             	 2.2982006731e-01 2.5638771411e-02 6.7382355316e-20 	 2.0883165062e-01 2.5623959022e-02 6.4528142352e-20 	 2.0988416693e-02 1.4812389521e-05 2.8542129634e-21 
0.018             	 2.4588916005e-01 -3.1169937370e-02 6.5623599247e-20 	 2.2284682495e-01 -3.1161084356e-02 6.9236557065e-20 	 2.3042335093e-02 -8.8530131883e-06 -3.6129578176e-21 
0.019             	 2.6399334516e-01 2.8250878603e-02 6.5720324988e-20 	 2.3811320720e-01 2.8238955033e-02 7.6689440061e-20 	 2.5880137956e-02 1.1923569689e-05 -1.0969115073e-20 
0.021             	 2.9888953650e-01 1.2235514194e-02 6.4706330623e-20 	 2.6562373803e-01 1.2232508322e-02 8.5978698721e-20 	 3.3265798472e-02 3.0058711753e-06 -2.1272368097e-20 
0.022             	 3.1516100183e-01 -3.3723966381e-04 9.2839942244e-20 	 2.7782326686e-01 -3.4987632175e-04 8.7564206083e-20 	 3.7337734966e-02 1.2636657949e-05 5.2757361613e-21 
0.023             	 3.3186310140e-01 -1.5280403055e-02 8.3462128307e-20 	 2.9055945783e-01 -1.5274421731e-02 9.0905119459e-20 	 4.1303643572e-02 -5.9813241450e-06 -7.4429911516e-21 
0.024             	 3.4709755151e-01 2.9540413413e-02 9.8320467708e-20 	 3.0218282048e-01 2.9513719505e-02 9.1317511386e-20 	 4.4914731027e-02 2.6693908341e-05 7.0029563217e-21 
0.025             	 3.6300647381e-01 -4.7880505004e-02 8.3129504016e-20 	 3.1486657328e-01 -4.7857234492e-02 9.5204718904e-20 	 4.8139900531e-02 -2.3270511800e-05 -1.2075214888e-20 
0.026             	 3.7831843167e-01 6.9541118751e-02 7.8619642938e-20 	 3.2727135950e-01 6.9490272998e-02 9.6574116484e-20 	 5.1047072165e-02 5.0845752903e-05 -1.7954473546e-20 
0.027             	 3.9299258638e-01 -1.0479171527e-01 8.5626694719e-20 	 3.3930228560e-01 -1.0474125999e-01 1.0103550299e-19 	 5.3690300775e-02 -5.0455285525e-05 -1.5408808275e-20 
0.028             	 4.0827134244e-01 1.3124243315e-01 9.5676458211e-20 	 3.5202263046e-01 1.3115593593e-01 1.0391064931e-19 	 5.6248711972e-02 8.6497216521e-05 -8.2341911010e-21 
0.029             	 4.2459032833e-01 -1.4067571344e-01 1.1710726348e-19 	 3.6574257026e-01 -1.4063872976e-01 1.1098616821e-19 	 5.8847758064e-02 -3.6983680206e-05 6.1210952713e-21 
0.031             	 4.5916078559e-01 -2.4883660529e-02 1.2763727911e-19 	 3.9435818851e-01 -2.4950375925e-02 1.2370861164e-19 	 6.4802597083e-02 6.6715396657e-05 3.9286674716e-21 
0.032             	 4.7705706960e-01 -6.2637061922e-02 1.0661322321e-19 	 4.0890232292e-01 -6.2574055453e-02 1.2774392151e-19 	 6.8154746675e-02 -6.3006469092e-05 -2.1130698303e-20 
0.033             	 4.9287350862e-01 1.1958762114e-01 1.2137549291e-19 	 4.2124128551e-01 1.1946695063e-01 1.3330567607e-19 	 7.1632223114e-02 1.2067051247e-04 -1.1930183164e-20 
0.034             	 5.1011984944e-01 -1.8292257973e-01 9.1949249516e-20 	 4.3493440981e-01 -1.8280522732e-01 1.3694370207e-19 	 7.5185439625e-02 -1.1735240921e-04 -4.4994452556e-20 
0.035             	 5.2657298726e-01 2.7061728846e-01 1.2824557122e-19 	 4.4777479550e-01 2.7039548250e-01 1.3946880797e-19 	 7.8798191768e-02 2.2180595652e-04 -1.1223236742e-20 
0.036             	 5.4066979076e-01 -3.6788342453e-01 1.6024752478e-19 	 4.5863957960e-01 -3.6767048115e-01 1.3917666027e-19 	 8.2030211164e-02 -2.1294337359e-04 2.1070864503e-20 
0.037             	 5.5670560903e-01 4.3789689510e-01 1.4028258613e-19 	 4.7166271711e-01 4.3762136285e-01 1.4172567661e-19 	 8.5042891922e-02 2.7553225200e-04 -1.4430904808e-21 
