"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	1.223741707076212e+00	8.046280476177799e+00	-2.131270485994289e-02	2.534603082357079e+05	5.770806055238609e-11	-8.875591461787735e-08	1.782174709544226e-08	-5.532259820029140e-06	1.013735421261562e+05	2.885793196215458e+02	1.037119251955392e+01	1.930747499536117e-02	
1	-5.000000000000000e-02	0.000000000000000e+00	1.224018851799082e+00	3.151206702294367e-01	3.174253120157174e-01	2.535059006147162e+05	-2.060627890543287e-09	-1.563970077889110e-07	-4.009580217845254e-08	-9.534362470731139e-05	1.014023275568694e+05	2.885959036531383e+02	1.443062429409223e+01	1.072995629969183e-03	
2	-5.000000000000000e-02	1.000000000000000e+00	1.221714042268164e+00	3.324041247134440e+00	4.722479396619638e+00	2.529855018104118e+05	-8.710456578242542e-09	3.241334687320574e-07	3.864755289129107e-07	-1.308123464696109e-04	1.011887410076173e+05	2.885313263084657e+02	-1.569016956462378e+01	1.388161310839647e-02	
3	5.000000000000000e-02	1.000000000000000e+00	1.219689717821856e+00	-4.941494050090877e-01	1.378365550666266e+00	2.524828258184424e+05	-9.538541534404033e-08	3.982014988856974e-07	1.474428614756107e-07	1.632483326829970e-05	1.009927787502185e+05	2.884505054697692e+02	-4.332551823176931e+01	3.526031187830335e-03	
4	5.000000000000000e-02	0.000000000000000e+00	1.223404016687757e+00	-5.526341319859257e-01	5.614950206690329e-01	2.532491414754305e+05	-1.099602937593147e-07	-4.971947675791455e-08	-5.038407213664442e-08	5.544649320654571e-05	1.012995551222787e+05	2.884482983999679e+02	-6.273836148179425e-02	1.891391954786039e-03	
5	3.000000000000000e+00	0.000000000000000e+00	1.223806231812625e+00	-3.669177454808050e+00	1.787490136726957e-01	2.533712990459339e+05	-2.618818095712072e-08	5.038608725804750e-07	-1.157354534431221e-08	7.145223207771778e-06	1.013463142342116e+05	2.884865990285141e+02	6.531410832264813e+00	8.815747254549979e-03	
6	3.000000000000000e+00	4.000000000000000e+00	1.223141910690020e+00	1.707088885799706e+01	9.320633782210037e-02	2.533707776934881e+05	3.823324767893155e-09	1.535607349723023e-06	7.444503943854208e-08	-4.386785440146923e-05	1.013006593811731e+05	2.885132547577828e+02	9.298846046101777e-02	4.098774545478454e-02	
7	-3.000000000000000e+00	4.000000000000000e+00	1.223591103262146e+00	1.018569899271376e+01	-1.729219564994530e-02	2.534323315995970e+05	5.364850785838371e-10	2.106633269605140e-06	-1.018482140430210e-07	1.148115552496165e-04	1.013559745624690e+05	2.885648233495603e+02	7.893747351437088e+00	2.444469447699527e-02	
8	-3.000000000000000e+00	3.333333333333334e+00	1.223557991507431e+00	9.934702178313836e+00	3.882581665738261e-02	2.534245180964519e+05	2.391451481287277e-10	1.521683735461465e-06	-1.920916469499989e-07	4.291496588848531e-05	1.013536739918526e+05	2.885660824494834e+02	7.569312064955579e+00	2.384306726780570e-02	
9	-3.000000000000000e+00	2.666666666666670e+00	1.223580991455963e+00	9.549823043681641e+00	9.563388904508334e-02	2.534282502848831e+05	2.391451481287277e-10	1.521683735461465e-06	-1.920916469499989e-07	4.291496588848531e-05	1.013563916989577e+05	2.885683956959529e+02	7.952573537959140e+00	2.291981724720725e-02	
10	-3.000000000000000e+00	2.000000000000005e+00	1.223632107961587e+00	9.105255578132642e+00	1.131622272269169e-01	2.534381598208850e+05	1.692448403645130e-10	8.927872308106544e-07	-1.884563795573335e-07	2.927487366832793e-05	1.013617110828062e+05	2.885714849296954e+02	8.702733437620990e+00	2.185240607317120e-02	
11	-3.000000000000000e+00	1.333333333333341e+00	1.223681217448837e+00	8.683683699983185e+00	1.006521924608896e-01	2.534480720711729e+05	1.692448403645130e-10	8.927872308106544e-07	-1.884563795573335e-07	2.927487366832793e-05	1.013669026617535e+05	2.885746833711137e+02	9.434869800243597e+00	2.083948176620319e-02	
12	-3.000000000000000e+00	6.666666666666714e-01	1.223784841551513e+00	8.325513757018769e+00	4.633318062097151e-02	2.534695875054222e+05	5.045430739869516e-11	2.167705979161383e-07	-2.071715632379068e-09	1.228676410391927e-06	1.013765068137932e+05	2.885775873868092e+02	1.078928413385512e+01	1.997710509065246e-02	
13	-2.391414492989528e+00	0.000000000000000e+00	1.223781933052693e+00	7.749866764528214e+00	-4.744816062458171e-03	2.534683851605944e+05	1.940159144453446e-11	-1.715240003363760e-07	7.047293415496370e-09	-3.121321788057685e-05	1.013775385152810e+05	2.885812100746687e+02	1.093477863221054e+01	1.859548072068979e-02	
14	-1.890444260078652e+00	0.000000000000000e+00	1.223753761254176e+00	7.236929875622460e+00	-1.024634515562945e-02	2.534619347890886e+05	1.940159144453446e-11	-1.715240003363760e-07	7.047293415496370e-09	-3.121321788057685e-05	1.013762144716246e+05	2.885840843386106e+02	1.074805692069182e+01	1.736503756124629e-02	
15	-1.478060002192985e+00	0.000000000000000e+00	1.223822435435877e+00	6.563108875365819e+00	-1.070702975474935e-02	2.534752879065803e+05	-8.805534079669997e-11	-2.752665073657568e-07	3.466275749763881e-08	-7.124891271814704e-05	1.013830758223645e+05	2.885874214560226e+02	1.171567090178239e+01	1.574723222726862e-02	
16	-1.138597166736117e+00	0.000000000000000e+00	1.223854498115827e+00	5.866918113447866e+00	-4.150394337306085e-02	2.534810241170760e+05	-8.805534079669997e-11	-2.752665073657568e-07	3.466275749763881e-08	-7.124891271814704e-05	1.013867843946815e+05	2.885904172024769e+02	1.223866798497854e+01	1.407671464385206e-02	
17	-8.591611135289186e-01	0.000000000000000e+00	1.223884944907097e+00	5.043015259293983e+00	-8.780850487497304e-03	2.534862253722971e+05	-3.686406735425862e-10	-4.330670639873802e-07	4.142946197216446e-08	-1.089492288883775e-04	1.013903341896328e+05	2.885933418828289e+02	1.273927367548085e+01	1.209924718135937e-02	
18	-6.291373375439351e-01	0.000000000000000e+00	1.223940105147933e+00	4.042176890278455e+00	2.077901244634672e-02	2.534962849565735e+05	-3.686406735425862e-10	-4.330670639873802e-07	4.142946197216446e-08	-1.089492288883775e-04	1.013958439784828e+05	2.885960177600033e+02	1.351628521827369e+01	9.697658243462715e-03	
