Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  1.0000000000000000  0.0000000000000127  
1  2  0.0000000000000006  0.0000000000000129  
2  1  0.1898856603366030  1.5203545437182571  
2  2  0.1394793521808934  1.3554154523372601  
2  3  0.0966434620947677  0.8723911378444543  
2  4  0.0161613839140911  0.6975496015883756  
2  5  0.0097935239646323  0.5821641139032677  
2  6  0.0061275364496933  0.5000066653227218  
2  7  0.0281495577803276  0.0007825353207275  
2  8  0.0000164782782159  0.0000313227237581  
2  9  0.0000004835994826  0.0000023242067142  
2  10  0.0000000588037504  0.0000013357038692  
2  11  0.0000000233082926  0.0000000420585708  
2  12  0.0000000019494510  0.0000000006099909  
2  13  0.0000000000071970  0.0000000000000111  
2  14  0.0000000000000005  0.0000000000000090  
3  1  0.1597278212974008  1.5203545437182611  
3  2  0.0736164562082448  1.0791647549218324  
3  3  0.0382091573485427  0.7255070410111382  
3  4  0.0397187218853696  0.0000258897881079  
3  5  0.0000015039078688  0.0000211489036488  
3  6  0.0000007521960560  0.0000015150663708  
3  7  0.0000000401643842  0.0000001250991121  
3  8  0.0000000022984954  0.0000000129761612  
3  9  0.0000000002438978  0.0000000014804687  
3  10  0.0000000000377357  0.0000000001598792  
3  11  0.0000000000048482  0.0000000000779741  
3  12  0.0000000000015151  0.0000000000069845  
3  13  0.0000000000001328  0.0000000000006278  
4  1  0.1378068471859933  1.5203545437182573  
4  2  0.0641539449856825  1.0791634489581563  
4  3  0.0331365592455101  0.7255059065615964  
4  4  0.0342682871715998  0.0000000000358773  
4  5  0.0000000000019461  0.0000000000294779  
4  6  0.0000000000009697  0.0000000000023899  
4  7  0.0000000000000534  0.0000000000002243  
5  1  0.1211620053815473  1.5203545437182433  
5  2  0.0568419327292887  1.0791634489574802  
5  3  0.0292502419914798  0.7255059065602460  
5  4  0.0301292314540833  0.0000000000004062  
5  5  0.0000000000000095  0.0000000000003687  
6  1  0.1080968299698073  1.5203545437182633  
6  2  0.0510232030712322  1.0791634489574651  
6  3  0.0261781223145665  0.7255059065602422  
6  4  0.0268803277013833  0.0000000000003448  
6  5  0.0000000000000091  0.0000000000003248  
7  1  0.0975705446133982  1.5203545437182968  
7  2  0.0462833767593894  1.0791634489574526  
7  3  0.0236889937167224  0.7255059065602338  
7  4  0.0242627671314955  0.0000000000003703  
7  5  0.0000000000000131  0.0000000000003789  
8  1  0.0889096388411140  1.5203545437183179  
8  2  0.0423482164257920  1.0791634489574422  
8  3  0.0216315046073761  0.7255059065602293  
8  4  0.0221090685871920  0.0000000000003881  
8  5  0.0000000000000129  0.0000000000003725  
9  1  0.0816591936086099  1.5203545437183255  
9  2  0.0390290658669602  1.0791634489574389  
9  3  0.0199024621911823  0.7255059065602201  
9  4  0.0203061078168814  0.0000000000003450  
9  5  0.0000000000000106  0.0000000000003269  
10  1  0.0755009453827417  1.5203545437183181  
10  2  0.0361919135657753  1.0791634489574602  
10  3  0.0184291079998353  0.7255059065602273  
10  4  0.0187747425546071  0.0000000000001987  
10  5  0.0000000000000052  0.0000000000001591  
