TimeWindow  Iteration  ResRel(Stress)  ResRel(Displacement)  
288  1  inf  inf  
289  1  inf  inf  
290  1  inf  inf  
291  1  inf  inf  
292  1  inf  inf  
293  1  inf  inf  
294  1  inf  inf  
295  1  inf  inf  
296  1  inf  inf  
297  1  inf  inf  
298  1  inf  inf  
299  1  inf  inf  
300  1  inf  inf  
301  1  inf  inf  
302  1  inf  inf  
303  1  inf  inf  
304  1  inf  inf  
305  1  inf  inf  
306  1  inf  inf  
307  1  inf  inf  
308  1  inf  inf  
309  1  inf  inf  
310  1  inf  inf  
311  1  inf  inf  
312  1  inf  inf  
313  1  inf  inf  
314  1  inf  inf  
315  1  inf  inf  
316  1  inf  inf  
317  1  inf  inf  
318  1  inf  inf  
319  1  inf  inf  
320  1  inf  inf  
321  1  inf  inf  
322  1  inf  inf  
323  1  inf  inf  
324  1  inf  inf  
325  1  inf  inf  
326  1  inf  inf  
327  1  inf  inf  
328  1  inf  inf  
329  1  inf  inf  
330  1  inf  inf  
331  1  inf  inf  
332  1  inf  inf  
333  1  inf  inf  
334  1  inf  inf  
335  1  inf  inf  
336  1  inf  inf  
337  1  inf  inf  
338  1  inf  inf  
339  1  inf  inf  
340  1  inf  inf  
341  1  inf  inf  
342  1  inf  inf  
343  1  inf  inf  
344  1  inf  inf  
345  1  inf  inf  
346  1  inf  inf  
347  1  inf  inf  
348  1  inf  inf  
349  1  inf  inf  
350  1  inf  inf  
351  1  inf  inf  
352  1  inf  inf  
353  1  inf  inf  
354  1  inf  inf  
355  1  inf  inf  
356  1  inf  inf  
357  1  inf  inf  
358  1  inf  inf  
359  1  inf  inf  
360  1  inf  inf  
361  1  inf  inf  
362  1  inf  inf  
363  1  inf  inf  
364  1  inf  inf  
365  1  inf  inf  
366  1  inf  inf  
367  1  inf  inf  
368  1  inf  inf  
369  1  inf  inf  
370  1  inf  inf  
371  1  inf  inf  
372  1  inf  inf  
373  1  inf  inf  
374  1  inf  inf  
375  1  inf  inf  
376  1  inf  inf  
377  1  inf  inf  
378  1  inf  inf  
379  1  inf  inf  
380  1  inf  inf  
381  1  inf  inf  
382  1  inf  inf  
383  1  inf  inf  
384  1  inf  inf  
385  1  inf  inf  
386  1  inf  inf  
387  1  inf  inf  
388  1  inf  inf  
389  1  inf  inf  
390  1  inf  inf  
