"PointID"	"x"	"y"	"z"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.224360676021980e+00	7.959100449384670e+00	-1.349557508478077e-06	7.233300114400804e-02	2.535447093018526e+05	1.014075350525312e+05	2.885301483949078e+02	1.516500529279299e+01	1.909097472966416e-02	
1	-3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.224214299848102e+00	1.104453017906782e+01	-9.426747547896810e-07	-5.884788527475154e-02	2.535340547509322e+05	1.013936931820161e+05	2.885252588669401e+02	1.321297165647964e+01	2.649446766805045e-02	
2	-5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.226685398660505e+00	5.622139681322270e-01	-1.587910343041365e-05	4.813552898209411e-01	2.536552669195761e+05	1.014620174560212e+05	2.881380700626473e+02	2.284832266552222e+01	1.773061015520277e-03	
3	-5.000000000000000e-02	0.000000000000000e+00	1.000000000000000e+00	1.227707758809201e+00	3.597250217973530e+00	-1.206798430570442e-05	5.795691906194180e+00	2.539124429540100e+05	1.015573971604681e+05	2.881687658342186e+02	3.629913417967424e+01	1.632677515112725e-02	
4	5.000000000000000e-02	0.000000000000000e+00	1.000000000000000e+00	1.220107594829225e+00	2.266011293075071e+00	1.856923118522771e-06	3.873740776824964e-01	2.523304683039512e+05	1.009313210265293e+05	2.881762411517118e+02	-5.199252199558363e+01	5.536571620779746e-03	
5	5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.226132716753560e+00	-2.722680614054933e-01	4.150325604182709e-07	2.574577351034991e-01	2.534873839998668e+05	1.013949306963278e+05	2.880773459278111e+02	1.338749066813752e+01	8.981831797777277e-04	
6	6.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.225471347715878e+00	8.741361821972539e+00	8.666299924916498e-07	-1.964676780804838e-02	2.533233921722164e+05	1.013168862725498e+05	2.880109621567734e+02	2.381366880521045e+00	2.096639087227078e-02	
7	6.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.225391278480161e+00	1.036646020213910e+01	4.243540057463091e-07	-4.610946514249835e-02	2.533205549426189e+05	1.013106821715841e+05	2.880121439089477e+02	1.506440781855321e+00	2.486598976812501e-02	
8	-3.000000000000000e+00	1.000000000000000e-02	0.000000000000000e+00	1.224360676399045e+00	7.959100203025034e+00	1.325431664949375e-06	7.233304607510345e-02	2.535447093139530e+05	1.014075350580141e+05	2.885301483216497e+02	1.516500606601253e+01	1.909097413630972e-02	
9	-5.000000000000000e-02	1.000000000000000e-02	0.000000000000000e+00	1.226685393613260e+00	5.622153971896166e-01	1.487547123151953e-05	4.813549865899052e-01	2.536552647927446e+05	1.014620166050739e+05	2.881380688316303e+02	2.284820266166650e+01	1.773063154646820e-03	
