"PointID"	"x"	"y"	"z"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Residual_1"	"Residual_2"	"Residual_3"	"Residual_4"	"Residual_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient_X"	"Skin_Friction_Coefficient_Y"	"Skin_Friction_Coefficient_Z"	"Heat_Flux"	"Y_Plus"
0	-1.000000000000000e+01	-5.000000000000000e-01	0.000000000000000e+00	1.820248981272589e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.776754887358891e+05	3.927411254545099e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	2.311159014325422e-03	1.510701954943556e+05	2.891201362317148e+02	6.784162708490167e-01	0.000000000000000e+00	1.793974642185231e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
1	-1.000000000000000e-01	-5.000000000000000e-01	0.000000000000000e+00	1.712558952507963e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.615470307022514e+05	4.665939664817037e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	2.931594274897975e-03	1.446188122809005e+05	2.941776032654716e+02	-2.840502598024778e-02	0.000000000000000e+00	1.818235086296717e-05	0.000000000000000e+00	8.292059411661101e-10	1.683428847208973e-09	-3.031621547131130e-03	2.948912752229149e+02	
2	-1.000000000000000e-01	-5.000000000000000e-01	1.600000000000000e+00	1.704678243377087e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.598255447384405e+05	5.427766866077923e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	9.145425182289557e-03	1.439302178953762e+05	2.941303974806002e+02	-1.038482542712859e-01	0.000000000000000e+00	1.818009577751821e-05	1.967047411066354e-09	-1.667953319578973e-08	1.045053246632573e-08	-3.780968363099711e-03	4.434221007400778e+02	
3	1.000000000000000e-01	-5.000000000000000e-01	1.600000000000000e+00	1.278919830848326e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.698671304535008e+05	-2.111689862950111e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	3.022403912411820e-03	1.079468521814003e+05	2.940336304557798e+02	-4.046229039401059e+00	0.000000000000000e+00	1.817547253584214e-05	2.438203405269321e-09	1.922840306320950e-08	-1.272237484006049e-08	-1.201949570105849e-02	4.159157297440784e+02	
4	1.000000000000000e-01	-5.000000000000000e-01	0.000000000000000e+00	1.270510042564786e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.677788705950621e+05	-9.778781378857993e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	5.164654429368198e-05	1.071115482380248e+05	2.936895811782927e+02	-4.137745943136043e+00	0.000000000000000e+00	1.815902891760399e-05	0.000000000000000e+00	-1.253856383835397e-09	-1.652793398316189e-09	-4.344635581821464e-03	2.674042572642934e+02	
5	1.000000000000000e+01	-5.000000000000000e-01	0.000000000000000e+00	1.284215032299105e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.542793872888956e+05	-2.001600608037002e-07	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-1.695534598606437e-04	1.017117549155582e+05	2.759076509618984e+02	-4.729353787921283e+00	0.000000000000000e+00	1.729616299345973e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
6	1.000000000000000e+01	-5.000000000000000e-01	2.000000000000000e+00	1.284755822302022e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.542551860922548e+05	-2.252280912051763e-07	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-1.859753667982629e-04	1.017020744369019e+05	2.757652650144170e+02	-4.730414392794903e+00	0.000000000000000e+00	1.728914830032324e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
7	-1.000000000000000e+01	-5.000000000000000e-01	2.000000000000000e+00	1.820332105051892e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.777540476115675e+05	5.041155762275373e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	2.124839590349796e-03	1.511016190446270e+05	2.891670698880484e+02	6.818590727751970e-01	0.000000000000000e+00	1.794200717214545e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
8	-1.000000000000000e+01	5.000000000000000e-01	0.000000000000000e+00	1.819580013478608e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.775294671942404e+05	3.778244558882982e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	2.249463125559411e-03	1.510117868776961e+05	2.891146068436515e+02	6.720169526241804e-01	0.000000000000000e+00	1.793948006477568e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
9	-1.000000000000000e-01	5.000000000000000e-01	0.000000000000000e+00	1.712642483663239e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.615584051633818e+05	4.471145095407292e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	2.900262683120047e-03	1.446233620653527e+05	2.941725097969180e+02	-2.790654612865835e-02	0.000000000000000e+00	1.818210754937647e-05	0.000000000000000e+00	-5.577914726216996e-10	1.683406319807507e-09	-3.218567714648199e-03	2.866821740131705e+02	
10	-1.000000000000000e-01	5.000000000000000e-01	1.600000000000000e+00	1.702380918587217e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.593426188565317e+05	5.439990481071930e-08	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	9.295008855428222e-03	1.437370475426127e+05	2.941320314365716e+02	-1.250122302329864e-01	0.000000000000000e+00	1.818017383677406e-05	1.967055856910581e-09	1.432506520556444e-08	1.045057733741978e-08	-3.802369155726933e-03	4.208276192316021e+02	
