Timestep  Iteration  resNorm(0)  resNorm(1)  resNorm(2)  
1  1  0.1322589647098199  0.2339370887397815  1.5203545437182584  
1  2  0.1126484601792105  0.1877318443583437  2.1489371210539376  
1  3  0.0034882623197074  0.0060611375768457  1.0640209988943370  
1  4  0.0016335708122447  0.0029327934392221  0.0764851353425501  
1  5  0.0008939505214287  0.0016235691101923  0.0569711325583390  
1  6  0.0003907236431781  0.0007072196003137  0.0065924929045478  
1  7  0.0000886362478362  0.0001599082710199  0.0042203724936742  
1  8  0.0000764403435299  0.0001384856212790  0.0023081105615545  
1  9  0.0000145497091068  0.0000265126368842  0.0003928643556430  
1  10  0.0000122092514306  0.0000222572747900  0.0001858140088508  
1  11  0.0000022081331191  0.0000040201013151  0.0000498577797251  
1  12  0.0000010036390004  0.0000018278257751  0.0000502205352821  
1  13  0.0000000086676273  0.0000000155014880  0.0000001998779771  
1  14  0.0000000086430574  0.0000000154571210  0.0000000039715106  
1  15  0.0000000000101729  0.0000000000180827  0.0000000004030608  
1  16  0.0000000000079671  0.0000000000141696  0.0000000004029083  
1  17  0.0000000000003437  0.0000000000006112  0.0000000003481654  
1  18  0.0000000000004809  0.0000000000008558  0.0000000000288812  
1  19  0.0000000000000129  0.0000000000000230  0.0000000000234422  
1  20  0.0000000000000266  0.0000000000000471  0.0000000000026633  
1  21  0.0000000000000009  0.0000000000000014  0.0000000000019170  
1  22  0.0000000000000001  0.0000000000000002  0.0000000000000096  
2  1  0.2096411552259502  0.1898856603366036  1.5203545437182664  
2  2  0.0032472284514680  0.0054780349622395  0.3442950178712715  
2  3  0.0083900310798833  0.0155431301341567  0.2084826316564811  
2  4  0.0015845330516740  0.0028799405867733  0.1346483184697738  
2  5  0.0015232897916228  0.0028256441374384  0.0428370041166859  
2  6  0.0006840333637956  0.0012770341707228  0.0194572346916785  
2  7  0.0001214930924231  0.0002235687370192  0.0089141749927837  
2  8  0.0000975249428866  0.0001785479521816  0.0046671714510313  
2  9  0.0000609114988322  0.0001135267685218  0.0018704660072021  
2  10  0.0000180323430657  0.0000334530830673  0.0007744718201026  
2  11  0.0000067744703209  0.0000124214978258  0.0005211961278471  
2  12  0.0000011498827602  0.0000021113531777  0.0000837903918930  
2  13  0.0000010357174638  0.0000019098164374  0.0000511510260204  
2  14  0.0000000721266172  0.0000001314275104  0.0000070897716526  
2  15  0.0000000750872641  0.0000001386338707  0.0000045844243384  
2  16  0.0000000074987224  0.0000000136493289  0.0000005747852706  
2  17  0.0000000032896859  0.0000000059812016  0.0000004337555387  
2  18  0.0000000005823409  0.0000000010863530  0.0000000567083387  
2  19  0.0000000003225336  0.0000000005965659  0.0000000350938136  
2  20  0.0000000001069821  0.0000000001995979  0.0000000030650578  
2  21  0.0000000000496507  0.0000000000911567  0.0000000030750007  
2  22  0.0000000000338797  0.0000000000630745  0.0000000023908360  
2  23  0.0000000000000002  0.0000000000000003  0.0000000000000085  
3  1  0.1735134180380744  0.1597278212974007  1.5203545437182726  
3  2  0.0000069278269327  0.0000143219165002  0.0003447686911979  
3  3  0.0000092577929905  0.0000175535480781  0.0003968337416409  
3  4  0.0000054996221577  0.0000103552835823  0.0001993880961847  
3  5  0.0000016135755098  0.0000030508893420  0.0000920542850977  
3  6  0.0000009696871813  0.0000018187565659  0.0000184690262953  
3  7  0.0000000900295803  0.0000001667037759  0.0000140393685595  
3  8  0.0000002035631136  0.0000003853112746  0.0000037542568753  
3  9  0.0000000293023396  0.0000000550984125  0.0000027086116736  
3  10  0.0000000195302482  0.0000000369780366  0.0000005465948121  
3  11  0.0000000065035748  0.0000000122452612  0.0000003238237191  
3  12  0.0000000023847093  0.0000000044386465  0.0000000946265037  
3  13  0.0000000013671357  0.0000000025626994  0.0000000645769152  
3  14  0.0000000001671602  0.0000000003111633  0.0000000125865523  
3  15  0.0000000000898086  0.0000000001671245  0.0000000085039666  
3  16  0.0000000000043194  0.0000000000081513  0.0000000007732463  
3  17  0.0000000000019453  0.0000000000036249  0.0000000005561724  
3  18  0.0000000000005219  0.0000000000009798  0.0000000000297169  
3  19  0.0000000000001659  0.0000000000003103  0.0000000000230691  
