Timesteps  Total_Iterations  Iterations  Convergence  
353  716  2  1  
354  718  2  1  
355  720  2  1  
356  722  2  1  
357  724  2  1  
358  726  2  1  
359  728  2  1  
360  730  2  1  
361  732  2  1  
362  734  2  1  
363  736  2  1  
364  738  2  1  
365  740  2  1  
366  742  2  1  
367  744  2  1  
368  746  2  1  
369  748  2  1  
370  750  2  1  
371  752  2  1  
372  754  2  1  
373  756  2  1  
374  758  2  1  
375  760  2  1  
376  762  2  1  
377  764  2  1  
378  766  2  1  
379  768  2  1  
380  770  2  1  
381  772  2  1  
382  774  2  1  
383  776  2  1  
384  778  2  1  
385  780  2  1  
386  782  2  1  
387  784  2  1  
388  786  2  1  
389  788  2  1  
390  790  2  1  
391  792  2  1  
392  794  2  1  
393  796  2  1  
394  798  2  1  
395  800  2  1  
396  802  2  1  
397  804  2  1  
398  806  2  1  
399  808  2  1  
400  810  2  1  
401  812  2  1  
402  814  2  1  
403  816  2  1  
404  818  2  1  
405  820  2  1  
406  822  2  1  
407  824  2  1  
408  826  2  1  
409  828  2  1  
410  830  2  1  
411  832  2  1  
412  834  2  1  
413  836  2  1  
414  838  2  1  
415  840  2  1  
416  842  2  1  
417  844  2  1  
418  846  2  1  
419  848  2  1  
420  850  2  1  
421  852  2  1  
422  854  2  1  
423  856  2  1  
424  858  2  1  
425  860  2  1  
426  862  2  1  
427  864  2  1  
428  866  2  1  
429  868  2  1  
430  870  2  1  
431  872  2  1  
432  874  2  1  
433  876  2  1  
434  878  2  1  
435  880  2  1  
436  882  2  1  
437  884  2  1  
438  886  2  1  
439  888  2  1  
440  890  2  1  
441  892  2  1  
442  894  2  1  
443  896  2  1  
444  898  2  1  
445  900  2  1  
446  902  2  1  
447  904  2  1  
448  906  2  1  
449  908  2  1  
450  910  2  1  
451  912  2  1  
452  914  2  1  
453  916  2  1  
454  918  2  1  
455  920  2  1  
456  922  2  1  
457  924  2  1  
458  926  2  1  
459  928  2  1  
460  930  2  1  
461  932  2  1  
462  934  2  1  
463  936  2  1  
464  938  2  1  
465  940  2  1  
466  942  2  1  
467  944  2  1  
468  946  2  1  
469  948  2  1  
470  950  2  1  
471  952  2  1  
472  954  2  1  
473  956  2  1  
474  958  2  1  
475  960  2  1  
476  962  2  1  
477  964  2  1  
478  966  2  1  
479  968  2  1  
480  970  2  1  
481  972  2  1  
482  974  2  1  
483  976  2  1  
484  978  2  1  
485  980  2  1  
486  982  2  1  
487  984  2  1  
488  986  2  1  
489  988  2  1  
490  990  2  1  
491  992  2  1  
492  994  2  1  
493  996  2  1  
494  998  2  1  
495  1000  2  1  
496  1002  2  1  
497  1004  2  1  
498  1006  2  1  
499  1008  2  1  
500  1010  2  1  
501  1012  2  1  
502  1014  2  1  
503  1016  2  1  
504  1018  2  1  
505  1020  2  1  
506  1022  2  1  
507  1024  2  1  
508  1026  2  1  
509  1028  2  1  
510  1030  2  1  
511  1032  2  1  
512  1034  2  1  
513  1036  2  1  
514  1038  2  1  
515  1040  2  1  
516  1042  2  1  
517  1044  2  1  
518  1046  2  1  
519  1048  2  1  
520  1050  2  1  
521  1052  2  1  
522  1054  2  1  
523  1056  2  1  
524  1058  2  1  
525  1060  2  1  
526  1062  2  1  
527  1064  2  1  
528  1066  2  1  
529  1068  2  1  
530  1070  2  1  
531  1072  2  1  
532  1074  2  1  
533  1076  2  1  
534  1078  2  1  
535  1080  2  1  
536  1082  2  1  
537  1084  2  1  
538  1086  2  1  
539  1088  2  1  
540  1090  2  1  
541  1092  2  1  
542  1094  2  1  
543  1096  2  1  
544  1098  2  1  
545  1100  2  1  
546  1102  2  1  
547  1104  2  1  
548  1106  2  1  
549  1108  2  1  
550  1110  2  1  
551  1112  2  1  
552  1114  2  1  
553  1116  2  1  
554  1118  2  1  
555  1120  2  1  
556  1122  2  1  
557  1124  2  1  
558  1126  2  1  
