"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	1.223709313354702e+00	8.817819619368771e+00	-1.930665956201134e-02	2.534549454526957e+05	-7.379300948073819e-09	-8.920154938252267e-06	-5.647359369646138e-06	-2.740890777204186e-04	0.000000000000000e+00	0.000000000000000e+00	1.013692702095464e+05	2.885747976642198e+02	9.768750464869568e+00	2.115952630643140e-02	
1	-5.000000000000034e-02	3.567990347035636e-17	1.223942752326949e+00	4.028137391296290e-01	3.966344778202214e-01	2.534947439096981e+05	1.949459689232214e-07	-1.592258404642388e-05	-5.828208323649386e-05	6.151328791747801e-02	0.000000000000000e+00	2.071026030259173e-17	1.013978453428392e+05	2.886010899095488e+02	1.379852529109452e+01	1.356217611157679e-03	
2	4.009144319104696e-01	1.031366672086346e+00	1.221402320274577e+00	6.865792298823865e+00	5.513832246214520e+00	2.529765513947353e+05	1.351475977795502e-07	6.214211235544553e-05	-1.310090174611034e-04	2.217018182273023e-02	-1.865474926414423e-01	-3.883636692370018e-03	1.011779234394029e+05	2.885741109828559e+02	-1.721570449825683e+01	2.117047925765306e-02	
3	5.009709466117634e-01	9.685249101587861e-01	1.221829055643836e+00	-3.594001984224002e-01	-9.355098682894872e-01	2.530063118283091e+05	-6.787839608168866e-07	-4.574058728712416e-05	1.144949120568395e-04	-1.510856252280064e-01	-1.865228040384026e-01	1.004514152611602e-02	1.012023603307126e+05	2.885429969570412e+02	-1.376952041846957e+01	2.408670408193207e-03	
4	4.999999999999992e-02	-7.872447672976254e-18	1.223269019348407e+00	-6.141130884850728e-01	5.818102066500357e-01	2.532792037377028e+05	-1.683330714818965e-07	3.604883203356390e-05	1.720882159883530e-05	-2.853573823813349e-02	0.000000000000000e+00	-3.818731716531007e-16	1.013115644908914e+05	2.885143311260622e+02	1.630868832517538e+00	2.030917023844387e-03	
5	3.000000000000000e+00	0.000000000000000e+00	1.223552711622981e+00	-4.397661563811250e+00	2.362652881703153e-01	2.533526419427840e+05	1.303611552039285e-08	-9.445615188141687e-05	-3.140413272734177e-06	6.651316740317270e-03	0.000000000000000e+00	0.000000000000000e+00	1.013378864603251e+05	2.885223784798425e+02	5.342893854900380e+00	1.057027761041063e-02	
6	3.000000000000000e+00	4.000000000000000e+00	1.223278974759904e+00	1.618545705951667e+01	5.962208320895780e-02	2.533957654325409e+05	3.203828313758095e-09	8.184718360837451e-07	1.544911092568602e-06	2.347570261918008e-03	0.000000000000000e+00	0.000000000000000e+00	1.013154749660025e+05	2.885231192415727e+02	2.182339021644717e+00	3.885646149787246e-02	
7	-3.000000000000000e+00	4.000000000000000e+00	1.223581327273637e+00	1.038389772714592e+01	-1.235236325098626e-02	2.534307437456627e+05	-9.570593872965105e-09	1.838429574974043e-05	4.595085430943169e-07	-7.088821439538151e-04	0.000000000000000e+00	0.000000000000000e+00	1.013546729264961e+05	2.885634230386992e+02	7.710185657324582e+00	2.492059360031472e-02	
8	-3.000000000000000e+00	3.428571428571430e+00	1.223565407609647e+00	1.025352624186544e+01	1.538495325330013e-02	2.534269790614008e+05	1.637927415920615e-08	2.520391129046118e-05	-1.099881233260214e-05	5.134807957801968e-03	0.000000000000000e+00	0.000000000000000e+00	1.013536065952295e+05	2.885641415482939e+02	7.559807534839465e+00	2.460801141075886e-02	
9	-3.000000000000000e+00	2.857142857142859e+00	1.223577410230835e+00	1.005257919257059e+01	4.243039146057231e-02	2.534290081641340e+05	1.637927415920615e-08	2.520391129046118e-05	-1.099881233260214e-05	5.134807957801968e-03	0.000000000000000e+00	0.000000000000000e+00	1.013550851201050e+05	2.885655203639162e+02	7.768314779996020e+00	2.412564078922832e-02	
