"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	1.223702155608306e+00	8.932185186725832e+00	-1.794701264643965e-02	2.534536176474142e+05	-9.579937065851141e-09	3.542616776996965e-05	-6.264116766060979e-07	-2.829538832884282e-03	0.000000000000000e+00	0.000000000000000e+00	1.013684072430367e+05	2.885740289320621e+02	9.647051619893530e+00	2.143410744652893e-02	
1	-5.000000000000035e-02	4.683212008401916e-17	1.223915916991976e+00	4.467787763090092e-01	4.414300606240293e-01	2.534887954013432e+05	-2.488569574854438e-07	3.218900198032060e-05	-3.754593502258707e-05	-6.626675781444646e-02	0.000000000000000e+00	-3.505815742495059e-17	1.013954536999370e+05	2.886006104159255e+02	1.346124664179988e+01	1.506811463600628e-03	
2	4.869337683095062e-01	1.037247078539897e+00	1.221357786650467e+00	7.066232659187114e+00	4.812954832145177e+00	2.529648629351027e+05	1.267243134872587e-07	2.429711785607580e-04	6.550667366767016e-05	2.406387784867547e-02	-5.039466549773830e-02	-2.946789381574888e-03	1.011739755155169e+05	2.885733726226341e+02	-1.777245585715125e+01	2.055547216171571e-02	
3	5.869891438812517e-01	9.625547665409708e-01	1.221939590108512e+00	-3.199194049074248e-01	-9.143921258364910e-01	2.530228573929796e+05	-6.781480712536592e-07	1.662430188664743e-05	9.394600580114876e-05	-1.446740744286217e-01	-5.037643157300709e-02	8.559071058489298e-03	1.012089893552637e+05	2.885357945011012e+02	-1.283466996703959e+01	2.328143652551978e-03	
4	4.999999999999991e-02	-9.374076719305741e-18	1.223364516769924e+00	-5.742799810360187e-01	5.413531672864090e-01	2.532801350071048e+05	2.312366942369692e-08	-1.703022678434252e-08	-3.545782192304614e-06	3.642326584667899e-02	0.000000000000000e+00	7.576321589183431e-17	1.013119521753424e+05	2.884929132817782e+02	1.685541579808158e+00	1.894624643733850e-03	
5	3.000000000000000e+00	0.000000000000000e+00	1.223573433294266e+00	-4.123142165298280e+00	2.369026655212507e-01	2.533489966237348e+05	-1.015193262787761e-09	-2.168053437756612e-05	5.440994910177466e-08	5.937617272138596e-03	0.000000000000000e+00	0.000000000000000e+00	1.013368106804641e+05	2.885144294102162e+02	5.191183255414318e+00	9.912457560814674e-03	
6	3.000000000000000e+00	4.000000000000000e+00	1.223279536753199e+00	1.616279307544541e+01	6.141546467354547e-02	2.533961352787432e+05	6.880492842142871e-09	-1.246554244005438e-05	4.772850411782770e-06	2.812111342791468e-03	0.000000000000000e+00	0.000000000000000e+00	1.013157427533800e+05	2.885237492860219e+02	2.220103424057649e+00	3.880200869001967e-02	
7	-3.000000000000000e+00	4.000000000000000e+00	1.223579349662128e+00	1.040927063078454e+01	-1.200845235838085e-02	2.534303863393836e+05	-5.170444516977568e-09	2.517651809164079e-05	-2.304111638129144e-06	-7.760281150694937e-04	0.000000000000000e+00	0.000000000000000e+00	1.013544437008496e+05	2.885632368081048e+02	7.677859378030885e+00	2.498153409537204e-02	
8	-3.000000000000000e+00	3.428571428571430e+00	1.223564241787167e+00	1.028627200204412e+01	1.397518125893905e-02	2.534268223430988e+05	3.366851908381818e-09	2.576815798960297e-05	-8.151734489314499e-06	9.954899142030627e-04	0.000000000000000e+00	0.000000000000000e+00	1.013534339586201e+05	2.885639249800274e+02	7.535461658453663e+00	2.468662757309594e-02	
9	-3.000000000000000e+00	2.857142857142859e+00	1.223575329863759e+00	1.009551596378772e+01	4.013818485979193e-02	2.534286872305308e+05	3.366851908381818e-09	2.576815798960297e-05	-8.151734489314499e-06	9.954899142030627e-04	0.000000000000000e+00	0.000000000000000e+00	1.013548153452009e+05	2.885652429227936e+02	7.730270088977975e+00	2.422871520806764e-02	
