"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	1.223736277052662e+00	8.329102051901627e+00	-2.111249843916984e-02	2.534594257294004e+05	1.704812069291961e-08	6.145202752172452e-05	1.119187496942051e-05	8.482410921715200e-04	0.000000000000000e+00	0.000000000000000e+00	1.013724321647422e+05	2.885774403870288e+02	1.021466150644123e+01	1.998626815955013e-02	
1	-5.000000000000033e-02	3.285496145568162e-17	1.223929367402047e+00	3.221814130836774e-01	3.172354455217798e-01	2.534916874809191e+05	-4.916442770674934e-07	1.389999896300731e-05	1.204463052241200e-04	-1.528159716399387e-01	0.000000000000000e+00	2.073687525792427e-17	1.013966415853433e+05	2.886008198566926e+02	1.362876679499147e+01	1.084746095830544e-03	
2	1.967713611068516e-01	1.015768798577975e+00	1.222031295653750e+00	5.700168393902253e+00	6.354302950672848e+00	2.531003079818832e+05	-4.182478257064304e-07	-1.463948676239113e-04	5.368023961640489e-04	-5.493982724146917e-02	3.015089156694434e-01	1.148317734827042e-02	1.012281972975709e+05	2.885688973958693e+02	-1.012589231830598e+01	2.051236457854601e-02	
3	2.968147056253882e-01	9.846233616517335e-01	1.222000742424242e+00	5.476539189197918e-01	-5.969207614787020e-01	2.530281790311290e+05	1.694102976346201e-06	2.203186032789795e-04	-1.209271125113265e-04	4.114629652176518e-01	3.015540718806664e-01	-2.356161374734711e-02	1.012111642083907e+05	2.885275553263565e+02	-1.252796384279779e+01	1.946781116674074e-03	
4	4.999999999999991e-02	-4.630863016800296e-18	1.223512043865713e+00	-5.653365935293321e-01	5.403475196922694e-01	2.532906879100150e+05	2.037759607720346e-07	-6.933209032256027e-05	3.835722192935265e-05	6.330145613173954e-02	0.000000000000000e+00	-1.555543585780234e-16	1.013161751926311e+05	2.884701516351982e+02	2.281087664802103e+00	1.877238375124294e-03	
5	3.000000000000000e+00	0.000000000000000e+00	1.223714830087583e+00	-4.734731553144104e+00	2.252484652621555e-01	2.533496660006811e+05	-3.648755475538223e-08	2.022414869653488e-04	5.523405534058057e-07	-6.764905556337908e-03	0.000000000000000e+00	0.000000000000000e+00	1.013361942343071e+05	2.884793375112506e+02	5.104249655494742e+00	1.137626866458257e-02	
6	3.000000000000000e+00	4.000000000000000e+00	1.223267996033081e+00	1.637038359285465e+01	6.927428261684627e-02	2.533975257335322e+05	1.413567085606360e-08	-5.433924242126409e-05	5.963098720584981e-06	1.760301558533683e-03	0.000000000000000e+00	0.000000000000000e+00	1.013151941780935e+05	2.885249090857508e+02	2.142741234450246e+00	3.930073107581820e-02	
7	-3.000000000000000e+00	4.000000000000000e+00	1.223605584061382e+00	1.006425029391679e+01	-1.280614151926886e-02	2.534350095892011e+05	1.239796865171172e-08	-1.439890709775682e-05	-3.421215698956939e-06	2.708580286707729e-04	0.000000000000000e+00	0.000000000000000e+00	1.013574479619094e+05	2.885656031019708e+02	8.101531788102456e+00	2.415289559378204e-02	
8	-3.000000000000000e+00	3.428571428571430e+00	1.223589518068743e+00	9.921132456103994e+00	1.740062583137857e-02	2.534311726445169e+05	-2.864378467748452e-08	-2.319284562091184e-05	1.432197271233893e-05	-8.928834606194869e-03	0.000000000000000e+00	0.000000000000000e+00	1.013563804642809e+05	2.885663528145459e+02	7.950989180784225e+00	2.380973038152463e-02	
9	-3.000000000000000e+00	2.857142857142859e+00	1.223601948604946e+00	9.702453602513534e+00	4.550130927345589e-02	2.534332715833791e+05	-2.864378467748452e-08	-2.319284562091184e-05	1.432197271233893e-05	-8.928834606194869e-03	0.000000000000000e+00	0.000000000000000e+00	1.013579213292720e+05	2.885678081475423e+02	8.168287867998819e+00	2.328484786699323e-02	
