"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	1.223732751742897e+00	8.396082540634360e+00	-2.056468824727869e-02	2.534588177617123e+05	2.065642812354440e-08	5.911339303388274e-05	1.223084775683198e-05	1.812053815228865e-03	0.000000000000000e+00	0.000000000000000e+00	1.013720058595707e+05	2.885770581476207e+02	1.015454231711947e+01	2.014705966018583e-02	
1	-5.000000000000033e-02	3.699456346582713e-17	1.223925162213081e+00	3.381556158771704e-01	3.331915664974576e-01	2.534908156169075e+05	-2.761105262205632e-07	3.983501652260468e-06	1.433681296981737e-04	-9.523062349762768e-02	0.000000000000000e+00	1.774429262036289e-16	1.013962894200276e+05	2.886008090815735e+02	1.357910309230888e+01	1.138915658413140e-03	
2	2.318108437358986e-01	1.017739044808314e+00	1.221973552383326e+00	5.932831423251979e+00	6.176094625289213e+00	2.530875996978284e+05	-6.775351533150342e-07	-3.150413732706525e-04	6.250752807579474e-04	-9.458640866796486e-02	3.376638775449220e-01	2.548470759120569e-02	1.012230359149908e+05	2.885678193316975e+02	-1.085377027347086e+01	2.057991845903706e-02	
3	3.318540429482608e-01	9.820052852880716e-01	1.222010995656998e+00	5.495388513364726e-01	-6.156617034690809e-01	2.530305757097208e+05	2.531260743010577e-06	1.952243663652098e-04	-1.429419230829510e-04	6.135279154113960e-01	3.376767318204354e-01	-2.732538595829892e-02	1.012121188229792e+05	2.885278557909193e+02	-1.239334043446178e+01	1.983197728658847e-03	
4	4.999999999999991e-02	-3.789162443719815e-18	1.223504743186501e+00	-5.616553838652335e-01	5.355718288166019e-01	2.532900828650951e+05	-4.642869200210953e-09	-7.005497413126172e-05	2.406163078927381e-05	8.546460943762213e-03	0.000000000000000e+00	2.014817317551920e-16	1.013159346921567e+05	2.884711881792846e+02	2.247171366052142e+00	1.862938541129249e-03	
5	3.000000000000000e+00	0.000000000000000e+00	1.223704273185297e+00	-4.635041454824741e+00	2.254833872816099e-01	2.533491933752642e+05	-3.568803719211644e-08	1.915673070103097e-04	1.227424460958915e-06	-6.703736638883129e-03	0.000000000000000e+00	0.000000000000000e+00	1.013361577984431e+05	2.884817224989169e+02	5.099111330288661e+00	1.113736466209272e-02	
6	3.000000000000000e+00	4.000000000000000e+00	1.223269545738181e+00	1.633226333621225e+01	6.870430429196857e-02	2.533972573741589e+05	1.069154742516787e-08	-4.978178913717102e-05	4.166281043313513e-06	-2.622641331981868e-04	0.000000000000000e+00	0.000000000000000e+00	1.013152907225964e+05	2.885248185051466e+02	2.156356310315123e+00	3.920916730095685e-02	
7	-3.000000000000000e+00	4.000000000000000e+00	1.223603506390813e+00	1.009023156415372e+01	-1.272272168385858e-02	2.534346275401507e+05	1.575414909638084e-08	-1.503631223798152e-05	-2.961316391795685e-06	7.104494143277407e-04	0.000000000000000e+00	0.000000000000000e+00	1.013572095248657e+05	2.885654142507869e+02	8.067906482265183e+00	2.421529596022907e-02	
8	-3.000000000000000e+00	3.428571428571430e+00	1.223587660983501e+00	9.950237785000457e+00	1.669109922252536e-02	2.534308538179554e+05	-3.581364715898872e-08	-2.757082697968372e-05	1.598315108111703e-05	-1.088136350153945e-02	0.000000000000000e+00	0.000000000000000e+00	1.013561583776248e+05	2.885661584905562e+02	7.919669669273068e+00	2.387962142556732e-02	
9	-3.000000000000000e+00	2.857142857142859e+00	1.223599775515489e+00	9.735979506517008e+00	4.442972928949672e-02	2.534328986322654e+05	-3.581364715898872e-08	-2.757082697968372e-05	1.598315108111703e-05	-1.088136350153945e-02	0.000000000000000e+00	0.000000000000000e+00	1.013576656169560e+05	2.885675926195569e+02	8.132226337053263e+00	2.336534301880368e-02	
10	-3.000000000000000e+00	2.285714285714289e+00	1.223643186835109e+00	9.472789414934018e+00	6.291754914403189e-02	2.534416443340416e+05	-1.469073485083072e-08	-2.246324264554289e-05	8.500121911114711e-06	-5.828708439366892e-03	0.000000000000000e+00	0.000000000000000e+00	1.013619904353579e+05	2.885696674964479e+02	8.742128805232555e+00	2.273309050559669e-02	
11	-3.000000000000000e+00	1.714285714285720e+00	1.223670028144854e+00	9.167962423445001e+00	8.279893409978174e-02	2.534470051324511e+05	-1.469073485083072e-08	-2.246324264554289e-05	8.500121911114711e-06	-5.828708439366892e-03	0.000000000000000e+00	0.000000000000000e+00	1.013650633180719e+05	2.885720857605111e+02	9.175478503999123e+00	2.200139449711010e-02	
12	-3.000000000000000e+00	1.142857142857147e+00	1.223739093536523e+00	8.875330727089963e+00	7.105790752871419e-02	2.534612266771627e+05	7.130926960030592e-09	-1.102089229298997e-05	9.849042129139729e-06	-2.192272775573656e-03	0.000000000000000e+00	0.000000000000000e+00	1.013716159420675e+05	2.885744526745810e+02	1.009955465625176e+01	2.129765777983841e-02	
