"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	1.223742089514532e+00	8.222985318439784e+00	-2.428591680426212e-02	2.534606497081260e+05	-1.411692696073885e-08	-6.520740390669744e-05	-9.462206051968902e-06	-4.552290483843535e-04	0.000000000000000e+00	0.000000000000000e+00	1.013732088492241e+05	2.885782806993433e+02	1.032419252913579e+01	1.973153378729728e-02	
1	-5.000000000000035e-02	2.517548060662673e-18	1.223987829604124e+00	2.598937581677594e-01	2.551161508967059e-01	2.535042343035172e+05	4.646095015381491e-07	-1.001709312381527e-05	-1.050963761106694e-04	1.437596698233392e-01	0.000000000000000e+00	-5.796582026306945e-17	1.014016720497835e+05	2.886013525170014e+02	1.433818217226746e+01	8.736634112490443e-04	
2	7.577635882265328e-02	1.007170287063458e+00	1.222039874440162e+00	4.773920708469349e+00	7.727757136806796e+00	2.531131279271003e+05	3.834221007359417e-08	1.375861881491858e-04	-6.539590871668111e-04	-4.119996764347889e-02	-1.879539767450353e-01	-1.245879575040298e-02	1.012317477572409e+05	2.885769927693038e+02	-9.625192886629304e+00	2.182651518065457e-02	
3	1.758218642534112e-01	9.927884688608476e-01	1.221596026037628e+00	1.585952072824841e-01	-5.991957381293693e-01	2.529779411190053e+05	-1.150760988943844e-06	-1.446054871605540e-04	7.200793178085974e-05	-2.909617088153027e-01	-1.879623305428513e-01	1.661101568167789e-02	1.011911135482534e+05	2.885659665663327e+02	-1.535558479010615e+01	1.489954036892024e-03	
4	4.999999999999991e-02	-3.269844423010586e-18	1.223214791528368e+00	-6.802404898514818e-01	6.528344639707634e-01	2.532829924440664e+05	-2.774146687922752e-07	8.901711460285178e-06	-3.616534209072153e-05	-8.024361607385799e-02	0.000000000000000e+00	3.634211889072391e-17	1.013130516360287e+05	2.885313568739406e+02	1.840591740052843e+00	2.263514344340190e-03	
5	3.000000000000000e+00	0.000000000000000e+00	1.223570717134193e+00	-5.108202394415274e+00	2.303571516164019e-01	2.533583451205530e+05	-7.365794196800834e-09	-9.418026181329253e-05	2.194104035624367e-06	-3.172786004142836e-03	0.000000000000000e+00	0.000000000000000e+00	1.013390641969834e+05	2.885214858383392e+02	5.508982792754909e+00	1.227275996588763e-02	
6	3.000000000000000e+00	4.000000000000000e+00	1.223267556745997e+00	1.630795305603156e+01	5.837505378053716e-02	2.533932559371041e+05	-2.318667036149691e-09	1.559833107123154e-05	-2.682571825278479e-06	-2.472487976774573e-04	0.000000000000000e+00	0.000000000000000e+00	1.013138200247935e+05	2.885210993894272e+02	1.948952868920673e+00	3.915102556741849e-02	
7	-3.000000000000000e+00	4.000000000000000e+00	1.223599102395923e+00	1.017166213588316e+01	-1.363662462160297e-02	2.534339314709803e+05	-7.193547091333130e-09	5.117208496940862e-06	3.723168743162419e-06	3.316482470836490e-04	0.000000000000000e+00	0.000000000000000e+00	1.013566613473882e+05	2.885648921847581e+02	7.990600393200959e+00	2.441083163912209e-02	
8	-3.000000000000000e+00	3.428571428571430e+00	1.223580917412735e+00	1.001097189683225e+01	2.093172671001885e-02	2.534296092588982e+05	2.175687674466076e-08	1.019373986466121e-05	-8.472701189560228e-06	6.808701378758997e-03	0.000000000000000e+00	0.000000000000000e+00	1.013554622783457e+05	2.885657670357266e+02	7.821503080770736e+00	2.402554492260660e-02	
9	-3.000000000000000e+00	2.857142857142859e+00	1.223595752084316e+00	9.767253073220729e+00	5.106390902707123e-02	2.534321385449415e+05	2.175687674466076e-08	1.019373986466121e-05	-8.472701189560228e-06	6.808701378758997e-03	0.000000000000000e+00	0.000000000000000e+00	1.013572617319154e+05	2.885673916146382e+02	8.075268920516097e+00	2.344055785124397e-02	
10	-3.000000000000000e+00	2.285714285714289e+00	1.223643235897108e+00	9.466894486697825e+00	7.104883374553711e-02	2.534416715258284e+05	1.578073627328536e-08	4.121704311188523e-06	-3.729242586680837e-06	5.410854704678059e-03	0.000000000000000e+00	0.000000000000000e+00	1.013620193830844e+05	2.885697383381540e+02	8.746211124585589e+00	2.271907866379289e-02	
11	-3.000000000000000e+00	1.714285714285720e+00	1.223674819977651e+00	9.116792832733591e+00	9.133985951706375e-02	2.534479337180565e+05	1.578073627328536e-08	4.121704311188523e-06	-3.729242586680837e-06	5.410854704678059e-03	0.000000000000000e+00	0.000000000000000e+00	1.013655874832994e+05	2.885724479494443e+02	9.249398293521040e+00	2.187870342526844e-02	
12	-3.000000000000000e+00	1.142857142857147e+00	1.223749190421895e+00	8.774264305217091e+00	7.883970874557210e-02	2.534631855788205e+05	2.322787295838680e-09	-1.300921845448499e-05	-3.220133402148662e-06	3.854822512948886e-03	0.000000000000000e+00	0.000000000000000e+00	1.013726909456065e+05	2.885751318962367e+02	1.025115577584114e+01	2.105511070697836e-02	
13	-3.000000000000000e+00	5.714285714285738e-01	1.223755971292712e+00	8.444681852851286e+00	1.791585481264583e-02	2.534640162500224e+05	2.322787295838680e-09	-1.300921845448499e-05	-3.220133402148662e-06	3.854822512948886e-03	0.000000000000000e+00	0.000000000000000e+00	1.013739517299001e+05	2.885771219158154e+02	1.042895640954551e+01	2.026327562708255e-02	
14	-2.473871371856578e+00	0.000000000000000e+00	1.223769332660967e+00	8.047897740585157e+00	-4.361932974753806e-03	2.534661059107601e+05	4.086616045562153e-08	-5.174547389508177e-05	1.017068901806861e-05	1.320284919347614e-02	0.000000000000000e+00	0.000000000000000e+00	1.013758572523322e+05	2.885793954850359e+02	1.069768048684145e+01	1.931085232496424e-02	
15	-2.029065741919601e+00	0.000000000000000e+00	1.223755771295183e+00	7.705515202688130e+00	-6.571217613990840e-05	2.534628491059734e+05	4.086616045562153e-08	-5.174547389508177e-05	1.017068901806861e-05	1.320284919347614e-02	0.000000000000000e+00	0.000000000000000e+00	1.013754359145809e+05	2.885813940468676e+02	1.063826182215886e+01	1.848944691115115e-02	
16	-1.653013276730948e+00	0.000000000000000e+00	1.223791019972350e+00	7.184971625883124e+00	5.414274506466176e-03	2.534694238336491e+05	1.504262039375703e-07	-6.520698615020137e-05	-1.783318306997073e-05	4.111487697809935e-02	0.000000000000000e+00	0.000000000000000e+00	1.013793328239665e+05	2.885841749347675e+02	1.118781892067188e+01	1.723982358702131e-02	
17	-1.335086820797576e+00	0.000000000000000e+00	1.223816474246264e+00	6.529884307656161e+00	3.924420058119115e-03	2.534738442454506e+05	1.504262039375703e-07	-6.520698615020137e-05	-1.783318306997073e-05	4.111487697809935e-02	0.000000000000000e+00	0.000000000000000e+00	1.013825694304097e+05	2.885873857063353e+02	1.164425756730037e+01	1.566757394060936e-02	
18	-1.066301883479915e+00	0.000000000000000e+00	1.223859149513683e+00	5.793129064309161e+00	9.888997984746536e-03	2.534818941007233e+05	2.492292769940008e-07	-1.325347595448889e-04	2.519981453896758e-06	6.906418179278262e-02	0.000000000000000e+00	0.000000000000000e+00	1.013872732768049e+05	2.885907119496374e+02	1.230761201592608e+01	1.389928237348185e-02	
19	-8.390627380676499e-01	0.000000000000000e+00	1.223885249791801e+00	4.974835120050379e+00	1.217954499160622e-02	2.534864906536995e+05	2.492292769940008e-07	-1.325347595448889e-04	2.519981453896758e-06	6.906418179278262e-02	0.000000000000000e+00	0.000000000000000e+00	1.013905519063710e+05	2.885938896906704e+02	1.276997692440428e+01	1.193567215901808e-02	
20	-6.469477023227581e-01	0.000000000000000e+00	1.223910554436139e+00	4.096158943666501e+00	-6.818432389088196e-03	2.534909246236407e+05	3.423727454876513e-07	-1.088889877651766e-04	-3.342910832826451e-05	9.721056962735020e-02	0.000000000000000e+00	0.000000000000000e+00	1.013936280535755e+05	2.885966785804033e+02	1.320378699414641e+01	9.827277337527019e-03	
21	-4.845276733706831e-01	0.000000000000000e+00	1.223958964680428e+00	3.281020425647365e+00	6.119746759923921e-03	2.535002706569902e+05	3.423727454876513e-07	-1.088889877651766e-04	-3.342910832826451e-05	9.721056962735020e-02	0.000000000000000e+00	0.000000000000000e+00	1.013983491952463e+05	2.885987012066730e+02	1.386958048883618e+01	7.871306081349451e-03	
