"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	1.223719557951130e+00	8.647142078373840e+00	-2.090665648085831e-02	2.534567675064034e+05	-1.888146150541559e-08	-1.976354672628133e-05	-1.098070055889286e-05	-1.538195530883968e-03	0.000000000000000e+00	0.000000000000000e+00	1.013704863098828e+05	2.885758437330763e+02	9.940249595661470e+00	2.074976252613190e-02	
1	-5.000000000000036e-02	2.572735940510733e-17	1.223965180859095e+00	3.583018758441451e-01	3.523776366092385e-01	2.534995133979326e+05	2.704815398324456e-07	-1.619886064330167e-05	-1.298645248674068e-04	9.246990221436135e-02	0.000000000000000e+00	-1.300935781030110e-16	1.013997640916211e+05	2.886012625338977e+02	1.406911459894775e+01	1.205610064973919e-03	
2	2.845420372985569e-01	1.022300604556095e+00	1.221568856937529e+00	6.293731814938408e+00	6.578916940101450e+00	2.530150673337003e+05	4.588320239307109e-07	3.957715906173220e-04	-4.907842481198799e-04	3.891634001047350e-02	-2.973474939816312e-01	-2.355225692678431e-02	1.011924553353189e+05	2.885762110557774e+02	-1.516636083501874e+01	2.188579936438869e-02	
3	3.845989891721743e-01	9.785210128873724e-01	1.221674860250900e+00	-2.596798754327880e-01	-9.110928260882184e-01	2.529819678285765e+05	-2.143482790373241e-06	4.158824419953078e-05	2.534886603462461e-04	-5.157682289718650e-01	-2.973546605784860e-01	2.746366793325850e-02	1.011926401981008e+05	2.885516987698496e+02	-1.514029077692923e+01	2.277228869984627e-03	
4	4.999999999999992e-02	-1.263874733211724e-17	1.223222626848249e+00	-6.363203995031512e-01	6.056805229846532e-01	2.532779271462442e+05	-2.978009090437439e-07	4.488118706558186e-05	9.460971070129887e-06	-7.687459053704515e-02	0.000000000000000e+00	-2.766068586622997e-16	1.013110446750001e+05	2.885237930683577e+02	1.557562403060109e+00	2.109083956223410e-03	
5	3.000000000000000e+00	0.000000000000000e+00	1.223553918900179e+00	-4.626390084606575e+00	2.339476295667252e-01	2.533550907807977e+05	3.797241632241821e-09	-1.299871222242288e-04	6.906883817103804e-07	3.705161914695054e-03	0.000000000000000e+00	0.000000000000000e+00	1.013385287894585e+05	2.885239225899001e+02	5.433477571356760e+00	1.111818617221514e-02	
6	3.000000000000000e+00	4.000000000000000e+00	1.223275756880274e+00	1.620118591439968e+01	5.865629617196271e-02	2.533948437658209e+05	1.076696376500763e-08	-8.519014375707457e-06	6.636432325526909e-06	6.489289138698950e-03	0.000000000000000e+00	0.000000000000000e+00	1.013150229199617e+05	2.885225908877673e+02	2.118589756275008e+00	3.889435074334067e-02	
7	-3.000000000000000e+00	4.000000000000000e+00	1.223586068954564e+00	1.032777082356111e+01	-1.275850107781464e-02	2.534315895993114e+05	-1.488250744863251e-08	3.051941758691612e-05	6.503750541488051e-07	-3.204489185009152e-04	0.000000000000000e+00	0.000000000000000e+00	1.013552013468564e+05	2.885638092299498e+02	7.784705521989213e+00	2.478578188402144e-02	
8	-3.000000000000000e+00	3.428571428571430e+00	1.223569378917666e+00	1.018811836368187e+01	1.721011617101143e-02	2.534276391011760e+05	3.534677461836111e-08	4.044274105829970e-05	-2.013446654727802e-05	1.095348672242835e-02	0.000000000000000e+00	0.000000000000000e+00	1.013540892054208e+05	2.885645789993857e+02	7.627867073865429e+00	2.445094485182596e-02	
9	-3.000000000000000e+00	2.857142857142859e+00	1.223582465035445e+00	9.974228008505559e+00	4.536029948934982e-02	2.534298645682053e+05	3.534677461836111e-08	4.044274105829970e-05	-2.013446654727802e-05	1.095348672242835e-02	0.000000000000000e+00	0.000000000000000e+00	1.013556841882401e+05	2.885660338408302e+02	7.852797664660255e+00	2.393751634905411e-02	
