  TimeWindow  Iteration  ResRel(Displacement-Left)  ResRel(Displacement-Right)
    35       2   1.54550582e-04   1.45361474e-07
    35       3   2.38514265e-09   2.24333801e-12
    35       4   3.67891191e-14   0.00000000e+00
    36       1   4.85711649e-01   1.41013088e-02
    36       2   3.38867910e-04   2.17622211e-07
    36       3   5.22966816e-09   3.35864692e-12
    36       4   8.07326500e-14   0.00000000e+00
    37       1   1.50823408e+00   3.76006331e-02
    37       2   2.17949733e-03   5.80282014e-07
    37       3   3.36356656e-08   8.95542805e-12
    37       4   5.19231211e-13   1.51315018e-16
    38       1   2.32197057e+00   6.18427355e-02
    38       2   4.48284497e-03   9.54405221e-07
    38       3   6.91826908e-08   1.47290460e-11
    38       4   1.06785941e-12   3.21345813e-16
    39       1   7.22429514e-01   8.76373789e-02
    39       2   1.62385724e-03   1.35248877e-06
    39       3   2.50606054e-08   2.08726291e-11
    39       4   3.86577207e-13   3.49508190e-16
    40       1   4.37594781e-01   1.15950440e-01
    40       2   1.08393994e-03   1.78943892e-06
    40       3   1.67281891e-08   2.76158089e-11
    40       4   2.58138789e-13   5.85051775e-16
    41       1   3.13101888e-01   1.48053114e-01
    41       2   8.28780875e-04   2.28487390e-06
    41       3   1.27903794e-08   3.52619988e-11
    41       4   1.97321797e-13   4.47781365e-16
    42       1   2.40185381e-01   1.85762098e-01
    42       2   6.66772772e-04   2.86683075e-06
    42       3   1.02901467e-08   4.42429479e-11
    42       4   1.58760383e-13   6.63704616e-16
    43       1   1.90323247e-01   2.31875089e-01
    43       2   5.47338806e-04   3.57848621e-06
    43       3   8.44695024e-09   5.52260507e-11
    43       4   1.30481783e-13   8.17604109e-16
    44       1   1.52705418e-01   2.91043893e-01
    44       2   4.51074590e-04   4.49163173e-06
    44       3   6.96132754e-09   6.93182754e-11
    44       4   1.07441436e-13   1.05556753e-15
    45       1   1.22292248e-01   3.71724870e-01
    45       2   3.68767457e-04   5.73677490e-06
    45       3   5.69110103e-09   8.85342893e-11
    45       4   8.77553093e-14   1.30316089e-15
    46       1   9.63827291e-02   4.91172202e-01
    46       2   2.95356980e-04   7.58020188e-06
    46       3   4.55817454e-09   1.16983340e-10
    46       4   7.03309625e-14   1.72733513e-15
    47       1   7.33655624e-02   6.90909836e-01
    47       2   2.27729043e-04   1.06627618e-05
    47       3   3.51448845e-09   1.64555814e-10
    47       4   5.42807679e-14   2.73824916e-15
    48       1   5.21851752e-02   1.10140927e+00
    48       2   1.63766518e-04   1.69980778e-05
    48       3   2.52736996e-09   2.62327076e-10
    48       4   3.90279868e-14   4.21980533e-15
    49       1   3.20827647e-02   2.42312143e+00
    49       2   1.01883615e-04   3.73968583e-05
    49       3   1.57234565e-09   5.77136944e-10
    49       4   2.43993960e-14   8.86425111e-15
    50       1   1.24548551e-02   5.38956991e+01
    50       2   4.07664955e-05   8.32451977e-04
    50       3   6.29139741e-10   1.28470362e-08
    50       4   9.66080368e-15   1.94749371e-13
    51       1   7.23587391e-03   9.64687736e-01
    51       2   2.07955893e-05   1.48875760e-05
    51       3   3.20933552e-10   2.29756397e-10
    51       4   4.92117529e-15   3.66239290e-15
    52       1   2.75293326e-02   7.91433486e-01
    52       2   8.40462820e-05   1.22138566e-05
    52       3   1.29706632e-09   1.88493518e-10
    52       4   1.99950793e-14   3.05537276e-15
    53       1   4.90367087e-02   5.74518915e-01
    53       2   1.50403805e-04   8.86633591e-06
    53       3   2.32114640e-09   1.36832049e-10
    53       4   3.57977469e-14   2.26085529e-15
    54       1   7.25291839e-02   4.41208482e-01
    54       2   2.21648724e-04   6.80901979e-06
    54       3   3.42065216e-09   1.05082068e-10
    54       4   5.29902472e-14   1.64233960e-15
    55       1   9.90773169e-02   3.52290075e-01
    55       2   3.00221670e-04   5.43677985e-06
    55       3   4.63324991e-09   8.39046508e-11
    55       4   7.15715568e-14   1.14558110e-15
    56       1   1.30302428e-01   2.88149213e-01
    56       2   3.89760489e-04   4.44691887e-06
    56       3   6.01508145e-09   6.86281649e-11
    56       4   9.28996003e-14   1.16497026e-15
    57       1   1.68884333e-01   2.38953832e-01
    57       2   4.96182329e-04   3.68770437e-06
    57       3   7.65746432e-09   5.69116383e-11
    57       4   1.18282537e-13   8.86592881e-16
    58       1   2.19715785e-01   1.99330668e-01
    58       2   6.30136610e-04   3.07621358e-06
    58       3   9.72474918e-09   4.74745300e-11
    58       4   1.50121029e-13   7.09865547e-16
    59       1   2.92949387e-01   1.66097457e-01
    59       2   8.13462819e-04   2.56333620e-06
    59       3   1.25539792e-08   3.95593135e-11
    59       4   1.93645805e-13   5.91957167e-16
    60       1   4.13953762e-01   1.37231265e-01
    60       2   1.10025059e-03   2.11785317e-06
    60       3   1.69799068e-08   3.26843089e-11
    60       4   2.62039427e-13   6.12865265e-16
    61       1   6.69645717e-01   1.11357679e-01
    61       2   1.67466927e-03   1.71855376e-06
    61       3   2.58447743e-08   2.65221254e-11
    61       4   3.98731425e-13   1.81539025e-16
    62       1   1.68825758e+00   8.74760122e-02
    62       2   3.86051583e-03   1.34999478e-06
    62       3   5.95784242e-08   2.08340402e-11
    62       4   9.19339083e-13   3.31316983e-16
    63       1   2.90529588e+00   6.47976022e-02
    63       2   5.86017094e-03   1.00000507e-06
    63       3   9.04386403e-08   1.54329155e-11
    63       4   1.39563732e-12   1.54924064e-16
    64       1   7.17588051e-01   4.26387311e-02
    64       2   1.13882663e-03   6.58033019e-07
    64       3   1.75752422e-08   1.01553472e-11
    64       4   2.71255475e-13   0.00000000e+00
    65       1   3.71830878e-01   2.03360974e-02
    65       2   3.48395075e-04   3.13842083e-07
    65       3   5.37669882e-09   4.84334962e-12
    65       4   8.30090408e-14   1.45301942e-16
    66       1   2.21056830e-01   2.83808318e-03
    66       2   3.77648884e-05   4.37994684e-08
    66       3   5.82816531e-10   6.75823049e-13
    66       4   9.13093393e-15   0.00000000e+00
    67       1   1.29056646e-01   2.77862241e-02
    67       2   3.13215806e-04   4.28818408e-07
    67       3   4.83378542e-09   6.61773814e-12
    67       4   7.47733052e-14   1.49763242e-16
    68       1   6.04016994e-02   5.57613254e-02
    68       2   5.59088593e-04   8.60552086e-07
    68       3   8.62828198e-09   1.32806588e-11
    68       4   1.32969517e-13   3.16228750e-16
    69       1   6.19469377e-04   8.86943001e-02
    69       2   8.15668006e-04   1.36880003e-06
    69       3   1.25880111e-08   2.11243147e-11
    69       4   1.94433227e-13   3.44276909e-16
    70       1   5.91075776e-02   1.29885465e-01
    70       2   1.11840046e-03   2.00449568e-06
    70       3   1.72600096e-08   3.09349627e-11
    70       4   2.66231654e-13   3.88994255e-16
    71       1   1.27556327e-01   1.85677331e-01
    71       2   1.51812211e-03   2.86552254e-06
    71       3   2.34288188e-08   4.42227523e-11
    71       4   3.61530391e-13   8.07140236e-16
    72       1   2.19080142e-01   2.70279232e-01
    72       2   2.11627568e-03   4.17117286e-06
    72       3   3.26599809e-08   6.43728802e-11
    72       4   5.04027740e-13   8.78826648e-16
    73       1   3.69072494e-01   4.23905452e-01
    73       2   3.18118014e-03   6.54207537e-06
    73       3   4.90943986e-08   1.00962334e-10
    73       4   7.57377896e-13   1.45993662e-15
    74       1   7.16910028e-01   8.23733765e-01
    74       2   5.78587827e-03   1.27126500e-05
    74       3   8.92920830e-08   1.96191247e-10
    74       4   1.37800554e-12   3.04293663e-15
    75       1   3.17536175e+00   5.75997097e+00
    75       2   2.43796402e-02   8.89001722e-05
    75       3   3.76245079e-07   1.37197540e-09
    75       4   5.80645498e-12   2.10541481e-14
    76       1   1.46848994e+00   1.20856893e+00
    76       2   1.16227498e-02   1.86512106e-05
    76       3   1.79371180e-07   2.87839619e-10
    76       4   2.76821314e-12   4.29059837e-15
    77       1   5.88044607e-01   5.41826331e-01
    77       2   4.70722915e-03   8.36180769e-06
    77       3   7.26455593e-08   1.29045698e-10
    77       4   1.12122629e-12   1.96582276e-15
    78       1   3.49136010e-01   3.40008332e-01
    78       2   2.92157623e-03   5.24724063e-06
    78       3   4.50879968e-08   8.09792699e-11
    78       4   6.95981444e-13   1.29741983e-15
    79       1   2.28480161e-01   2.38546110e-01
    79       2   2.08117544e-03   3.68141213e-06
    79       3   3.21182893e-08   5.68143916e-11
    79       4   4.95709200e-13   7.40941308e-16
    80       1   1.48512677e-01   1.74865608e-01
    80       2   1.57681276e-03   2.69865228e-06
    80       3   2.43345791e-08   4.16476465e-11
    80       4   3.75392999e-13   4.07583004e-16
    81       1   8.51165034e-02   1.29278135e-01
    81       2   1.22636742e-03   1.99511489e-06
    81       3   1.89262386e-08   3.07901419e-11
    81       4   2.92229182e-13   5.32336088e-16
    82       1   2.68903766e-02   9.35640319e-02
    82       2   9.53770728e-04   1.44394949e-06
    82       3   1.47193184e-08   2.22841026e-11
    82       4   2.27046024e-13   4.82527881e-16
    83       1   3.46626632e-02   6.36330066e-02
    83       2   7.17269251e-04   9.82032175e-07
    83       3   1.10694469e-08   1.51554901e-11
    83       4   1.70911650e-13   3.01215158e-16
    84       1   1.10392716e-01   3.71679966e-02
    84       2   4.83398532e-04   5.73604572e-07
    84       3   7.46017521e-09   8.85226299e-12
    84       4   1.15098665e-13   1.45009714e-16
    85       1   2.22660518e-01   1.27009156e-02
    85       2   2.04605573e-04   1.96010187e-07
    85       3   3.15762931e-09   3.02499519e-12
    85       4   4.87286640e-14   0.00000000e+00
    86       1   4.42556855e-01   1.08083499e-02
    86       2   2.48426619e-04   1.66802736e-07
    86       3   3.83390917e-09   2.57419688e-12
    86       4   5.92692573e-14   0.00000000e+00
    87       1   1.24229299e+00   3.41918905e-02
    87       2   1.70103646e-03   5.27675637e-07
    87       3   2.62516926e-08   8.14349220e-12
    87       4   4.05244850e-13   1.49663534e-16
    88       1   3.17950035e+00   5.82091158e-02
    88       2   6.00018687e-03   8.98328323e-07
    88       3   9.25994733e-08   1.38637125e-11
    88       4   1.42902577e-12   1.58375458e-16
    89       1   7.82194630e-01   8.36511372e-02
    89       2   1.73611183e-03   1.29096988e-06
    89       3   2.67930040e-08   1.99231398e-11
    89       4   4.13566411e-13   3.43247933e-16
    90       1   4.58560089e-01   1.11447021e-01
    90       2   1.12804101e-03   1.71993848e-06
    90       3   1.74087905e-08   2.65434214e-11
    90       4   2.68590995e-13   3.81502549e-16
    91       1   3.24288758e-01   1.42803409e-01
    91       2   8.55372333e-04   2.20385609e-06
    91       3   1.32007592e-08   3.40114990e-11
    91       4   2.03748411e-13   6.53975062e-16
    92       1   2.47488450e-01   1.79424601e-01
    92       2   6.86180786e-04   2.76902510e-06
    92       3   1.05896658e-08   4.27336289e-11
    92       4   1.63439872e-13   6.42763677e-16
    93       1   1.95697507e-01   2.23905186e-01
    93       2   5.63035286e-04   3.45548772e-06
    93       3   8.68919040e-09   5.33277700e-11
    93       4   1.34147609e-13   7.86684516e-16
    94       1   1.56988785e-01   2.80504926e-01
    94       2   4.64584026e-04   4.32898492e-06
    94       3   7.16981540e-09   6.68083695e-11
    94       4   1.10762150e-13   1.00735776e-15
    95       1   1.25908037e-01   3.56848038e-01
    95       2   3.80887324e-04   5.50718169e-06
    95       3   5.87814394e-09   8.49910012e-11
    95       4   9.07627210e-14   1.36683893e-15
    96       1   9.95721523e-02   4.68168499e-01
    96       2   3.06562578e-04   7.22518592e-06
    96       3   4.73110788e-09   1.11504657e-10
    96       4   7.27858964e-14   1.80608792e-15
    97       1   7.62804218e-02   6.50006585e-01
    97       2   2.38335941e-04   1.00314985e-05
    97       3   3.67818220e-09   1.54813857e-10
    97       4   5.68656244e-14   2.48340571e-15
    98       1   5.49302668e-02   1.00827981e+00
    98       2   1.74005788e-04   1.55607860e-05
    98       3   2.68539026e-09   2.40145940e-10
    98       4   4.13651556e-14   3.82371257e-15
    99       1   3.47377087e-02   2.04808611e+00
    99       2   1.11941417e-04   3.16086275e-05
    99       3   1.72756552e-09   4.87808422e-10
    99       4   2.67346006e-14   7.72801942e-15
   100       1   1.50868395e-02   1.67959354e+01
   100       2   5.08080165e-05   2.59274904e-04
   100       3   7.84108209e-10   4.00132900e-09
   100       4   1.21107728e-14   6.15932659e-14
