Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Stress0  Stress1  
0.0010000000000000  0.6000000000000000  0.2000000000000000  -0.0000000093241394  -0.0000000000069860  -4.5597749487568482  -0.0000091862131257  
0.0020000000000000  0.6000000000000000  0.2000000000000000  -0.0000000134678499  0.0000000003472880  2.4497441506792401  0.0006887287227985  
0.0030000000000000  0.6000000000000000  0.2000000000000000  -0.0000000286125882  -0.0000000004584980  -10.1183835101722703  -0.0020005046623119  
0.0040000000000000  0.6000000000000000  0.2000000000000000  -0.0000000680487939  -0.0000000002355546  -13.9489230011054133  0.0041363692950459  
0.0050000000000000  0.6000000000000000  0.2000000000000000  -0.0000001308381412  -0.0000000002969186  -27.2156297568579362  -0.0063220858042430  
0.0060000000000000  0.6000000000000000  0.2000000000000000  -0.0000002206340872  -0.0000000009932686  -32.6900112678765566  0.0081465198123430  
0.0070000000000000  0.6000000000000000  0.2000000000000000  -0.0000003390359117  -0.0000000002772609  -45.4159297048942818  -0.0094488116778517  
0.0080000000000000  0.6000000000000000  0.2000000000000000  -0.0000004731635645  -0.0000000008166279  -47.3078727119057447  0.0095967187185894  
0.0090000000000000  0.6000000000000000  0.2000000000000000  -0.0000006216245160  0.0000000001071062  -56.2502533009221395  -0.0090856494654219  
0.0100000000000000  0.6000000000000000  0.2000000000000000  -0.0000007677516245  -0.0000000008169879  -52.9133118360188206  0.0075657479494816  
0.0110000000000000  0.6000000000000000  0.2000000000000000  -0.0000009075195234  -0.0000000008323498  -59.6301787338443532  -0.0054232809368225  
0.0120000000000000  0.6000000000000000  0.2000000000000000  -0.0000010235189913  -0.0000000005162494  -53.2548882666437748  0.0034925274811280  
0.0130000000000000  0.6000000000000000  0.2000000000000000  -0.0000011183871577  -0.0000000014124267  -62.8782131970845199  -0.0023677927841948  
0.0140000000000000  0.6000000000000000  0.2000000000000000  -0.0000011783614902  -0.0000000013028566  -58.4252986536685199  0.0020200813029263  
0.0150000000000000  0.6000000000000000  0.2000000000000000  -0.0000012025430614  -0.0000000018475984  -72.5425798721298207  -0.0007496508778779  
0.0160000000000000  0.6000000000000000  0.2000000000000000  -0.0000011956305137  -0.0000000021213743  -71.0604317949330522  -0.0004913656896382  
0.0170000000000000  0.6000000000000000  0.2000000000000000  -0.0000011716086237  -0.0000000031703281  -87.8854914665162710  0.0012844193697935  
0.0180000000000000  0.6000000000000000  0.2000000000000000  -0.0000011465641041  -0.0000000031940730  -86.2880033300121880  -0.0005318842940773  
0.0190000000000000  0.6000000000000000  0.2000000000000000  -0.0000011302365851  -0.0000000046982992  -102.3366784643969822  -0.0008400197857025  
0.0200000000000000  0.6000000000000000  0.2000000000000000  -0.0000011312601435  -0.0000000050199688  -98.2319172637549087  0.0036312701695930  
0.0210000000000000  0.6000000000000000  0.2000000000000000  -0.0000011501772976  -0.0000000059640101  -110.5293063413686241  -0.0064621040367942  
0.0220000000000000  0.6000000000000000  0.2000000000000000  -0.0000011952335520  -0.0000000075876883  -104.3907242082584190  0.0088066106774520  
0.0230000000000000  0.6000000000000000  0.2000000000000000  -0.0000012537756706  -0.0000000067473783  -112.0425940834726219  -0.0089459621669046  
0.0240000000000000  0.6000000000000000  0.2000000000000000  -0.0000013286441906  -0.0000000086872124  -106.7332100211175288  0.0067555812783685  
0.0250000000000000  0.6000000000000000  0.2000000000000000  -0.0000014145648337  -0.0000000089609037  -116.6852282034719082  -0.0035478259616523  
0.0260000000000000  0.6000000000000000  0.2000000000000000  -0.0000015115363480  -0.0000000098371044  -115.2656007596558680  -0.0011071749142138  
0.0270000000000000  0.6000000000000000  0.2000000000000000  -0.0000016037549350  -0.0000000105369002  -125.8616635838549485  0.0059120036251676  
0.0280000000000000  0.6000000000000000  0.2000000000000000  -0.0000016877574946  -0.0000000094952789  -124.9329663262161603  -0.0095601807893879  
0.0290000000000000  0.6000000000000000  0.2000000000000000  -0.0000017799285128  -0.0000000127494556  -148.9330734451130240  0.0092003499493277  
0.0300000000000000  0.6000000000000000  0.2000000000000000  -0.0000018678174785  -0.0000000133510219  -144.1950318034743361  -0.0079621939829857  
0.0310000000000000  0.6000000000000000  0.2000000000000000  -0.0000019464854432  -0.0000000166048800  -160.0597550325355201  0.0060946555087688  
0.0320000000000000  0.6000000000000000  0.2000000000000000  -0.0000019915070615  -0.0000000148455672  -141.1065709938006023  0.0001003463115040  
0.0330000000000000  0.6000000000000000  0.2000000000000000  -0.0000020815771193  -0.0000000210372030  -188.9431533983311624  -0.0125222451470627  
0.0340000000000000  0.6000000000000000  0.2000000000000000  -0.0000021099736007  -0.0000000203004178  -132.7671719113756410  0.0322685398335196  
0.0350000000000000  0.6000000000000000  0.2000000000000000  -0.0000021400129634  -0.0000000230901203  -185.5291860438287870  -0.0560606904506550  
0.0360000000000000  0.6000000000000000  0.2000000000000000  -0.0000021798827572  -0.0000000235998755  -155.9494394193590949  0.0832049043046719  
0.0370000000000000  0.6000000000000000  0.2000000000000000  -0.0000021974258548  -0.0000000226815338  -185.2720965365226107  -0.1120199206462110  
0.0380000000000000  0.6000000000000000  0.2000000000000000  -0.0000022048929565  -0.0000000307358749  -164.9528181292449176  0.1360314025959924  
0.0390000000000000  0.6000000000000000  0.2000000000000000  -0.0000022356693461  -0.0000000244334419  -201.8590012739141457  -0.1544762217504117  
0.0400000000000000  0.6000000000000000  0.2000000000000000  -0.0000022234056520  -0.0000000370334165  -167.5151705732581320  0.1602841397081365  
