TimeWindow  TotalIterations  Iterations  Convergence  
332  1853  5  1  
333  1858  5  1  
334  1863  5  1  
335  1867  4  1  
336  1872  5  1  
337  1877  5  1  
338  1882  5  1  
339  1887  5  1  
340  1891  4  1  
341  1894  3  1  
342  1899  5  1  
343  1903  4  1  
344  1908  5  1  
345  1913  5  1  
346  1918  5  1  
347  1922  4  1  
348  1927  5  1  
349  1931  4  1  
350  1934  3  1  
351  1937  3  1  
352  1941  4  1  
353  1945  4  1  
354  1949  4  1  
355  1953  4  1  
356  1957  4  1  
357  1960  3  1  
358  1963  3  1  
359  1967  4  1  
360  1971  4  1  
361  1975  4  1  
362  1980  5  1  
363  1985  5  1  
364  1990  5  1  
365  1994  4  1  
366  1998  4  1  
367  2002  4  1  
368  2006  4  1  
369  2011  5  1  
370  2015  4  1  
371  2020  5  1  
372  2024  4  1  
373  2027  3  1  
374  2033  6  1  
375  2038  5  1  
376  2043  5  1  
377  2047  4  1  
378  2052  5  1  
379  2056  4  1  
380  2060  4  1  
381  2064  4  1  
382  2069  5  1  
383  2072  3  1  
384  2076  4  1  
385  2080  4  1  
386  2084  4  1  
387  2087  3  1  
388  2091  4  1  
389  2095  4  1  
390  2099  4  1  
391  2103  4  1  
392  2107  4  1  
393  2111  4  1  
394  2115  4  1  
395  2119  4  1  
396  2123  4  1  
397  2127  4  1  
398  2130  3  1  
399  2134  4  1  
400  2139  5  1  
401  2143  4  1  
402  2147  4  1  
403  2152  5  1  
404  2156  4  1  
405  2161  5  1  
406  2165  4  1  
407  2170  5  1  
408  2175  5  1  
409  2179  4  1  
410  2184  5  1  
411  2190  6  1  
412  2194  4  1  
413  2198  4  1  
414  2202  4  1  
415  2207  5  1  
416  2212  5  1  
417  2216  4  1  
418  2219  3  1  
419  2223  4  1  
420  2229  6  1  
421  2233  4  1  
422  2238  5  1  
423  2242  4  1  
424  2246  4  1  
425  2250  4  1  
426  2254  4  1  
427  2258  4  1  
428  2263  5  1  
429  2267  4  1  
430  2271  4  1  
431  2276  5  1  
432  2281  5  1  
433  2285  4  1  
434  2289  4  1  
435  2292  3  1  
436  2296  4  1  
437  2300  4  1  
438  2304  4  1  
439  2309  5  1  
440  2314  5  1  
441  2318  4  1  
442  2322  4  1  
443  2326  4  1  
444  2331  5  1  
445  2335  4  1  
446  2338  3  1  
447  2343  5  1  
448  2347  4  1  
449  2350  3  1  
450  2354  4  1  
451  2358  4  1  
452  2362  4  1  
453  2366  4  1  
454  2371  5  1  
455  2376  5  1  
456  2381  5  1  
457  2385  4  1  
458  2389  4  1  
459  2393  4  1  
460  2397  4  1  
461  2401  4  1  
462  2405  4  1  
463  2410  5  1  
464  2415  5  1  
465  2419  4  1  
466  2424  5  1  
467  2429  5  1  
468  2433  4  1  
469  2437  4  1  
470  2442  5  1  
471  2446  4  1  
472  2451  5  1  
473  2457  6  1  
474  2464  7  1  
475  2469  5  1  
476  2474  5  1  
477  2479  5  1  
478  2484  5  1  
479  2489  5  1  
480  2493  4  1  
481  2497  4  1  
482  2502  5  1  
483  2506  4  1  
484  2511  5  1  
485  2515  4  1  
486  2520  5  1  
487  2523  3  1  
488  2528  5  1  
489  2533  5  1  
490  2538  5  1  
491  2544  6  1  
492  2547  3  1  
493  2551  4  1  
494  2556  5  1  
495  2559  3  1  
496  2564  5  1  
497  2567  3  1  
498  2571  4  1  
499  2574  3  1  
500  2578  4  1  
501  2581  3  1  
502  2585  4  1  
503  2588  3  1  
504  2592  4  1  
505  2597  5  1  
506  2601  4  1  
507  2605  4  1  
508  2610  5  1  
509  2614  4  1  
510  2618  4  1  
511  2623  5  1  
512  2628  5  1  
513  2632  4  1  
514  2636  4  1  
515  2642  6  1  
516  2646  4  1  
517  2651  5  1  
518  2656  5  1  
519  2660  4  1  
520  2663  3  1  
521  2668  5  1  
522  2672  4  1  
523  2675  3  1  
524  2679  4  1  
525  2684  5  1  
526  2688  4  1  
527  2693  5  1  
528  2698  5  1  
529  2703  5  1  
530  2707  4  1  
531  2713  6  1  
532  2717  4  1  
533  2722  5  1  
534  2726  4  1  
535  2730  4  1  
536  2734  4  1  
537  2737  3  1  
538  2741  4  1  
539  2745  4  1  
540  2749  4  1  
541  2755  6  1  
542  2758  3  1  
543  2762  4  1  
544  2766  4  1  
545  2770  4  1  
546  2774  4  1  
547  2778  4  1  
548  2782  4  1  
549  2786  4  1  
550  2790  4  1  
551  2794  4  1  
552  2799  5  1  
553  2802  3  1  
554  2807  5  1  
555  2811  4  1  
556  2815  4  1  
557  2819  4  1  
558  2823  4  1  
559  2827  4  1  
560  2830  3  1  
561  2835  5  1  
562  2841  6  1  
563  2845  4  1  
564  2849  4  1  
565  2854  5  1  
566  2858  4  1  
567  2863  5  1  
568  2867  4  1  
569  2871  4  1  
570  2874  3  1  
571  2878  4  1  
572  2881  3  1  
573  2886  5  1  
574  2890  4  1  
575  2893  3  1  
576  2898  5  1  
577  2903  5  1  
578  2908  5  1  
579  2911  3  1  
580  2914  3  1  
581  2919  5  1  
582  2923  4  1  
583  2927  4  1  
584  2931  4  1  
585  2935  4  1  
586  2939  4  1  
587  2943  4  1  
588  2946  3  1  
589  2950  4  1  
590  2954  4  1  
591  2959  5  1  
592  2964  5  1  
593  2968  4  1  
594  2972  4  1  
595  2976  4  1  
596  2980  4  1  
597  2985  5  1  
598  2988  3  1  
599  2992  4  1  
600  2997  5  1  
601  3002  5  1  
602  3007  5  1  
603  3010  3  1  
604  3014  4  1  
605  3019  5  1  
606  3024  5  1  
607  3027  3  1  
608  3031  4  1  
609  3035  4  1  
610  3039  4  1  
611  3043  4  1  
612  3048  5  1  
613  3052  4  1  
