TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
181  1185  4  1  26  4  0  
182  1189  4  1  26  2  1  
183  1193  4  1  25  4  0  
184  1197  4  1  25  1  2  
185  1202  5  1  25  4  0  
186  1206  4  1  26  2  0  
187  1210  4  1  25  4  0  
188  1215  5  1  26  2  1  
189  1219  4  1  27  2  0  
190  1223  4  1  26  2  2  
191  1228  5  1  26  4  0  
192  1233  5  1  25  5  0  
193  1239  6  1  25  5  0  
194  1245  6  1  26  4  0  
195  1250  5  1  26  3  1  
196  1256  6  1  27  4  0  
197  1260  4  1  27  3  0  
198  1265  5  1  28  3  0  
199  1271  6  1  25  8  0  
200  1275  4  1  25  3  0  
201  1282  7  1  24  7  0  
202  1288  6  1  26  3  0  
203  1293  5  1  26  3  1  
204  1298  5  1  25  4  1  
205  1303  5  1  26  3  0  
206  1309  6  1  26  4  1  
207  1313  4  1  25  2  2  
208  1318  5  1  24  5  0  
209  1322  4  1  24  3  0  
210  1327  5  1  26  2  0  
211  1331  4  1  26  1  2  
212  1335  4  1  27  2  0  
213  1338  3  1  25  1  3  
214  1341  3  1  24  2  1  
215  1345  4  1  23  4  0  
216  1348  3  1  24  1  0  
217  1353  5  1  25  2  1  
218  1357  4  1  26  2  0  
219  1361  4  1  28  1  0  
220  1365  4  1  29  1  1  
221  1369  4  1  30  2  0  
222  1373  4  1  29  4  0  
223  1377  4  1  29  3  0  
224  1381  4  1  28  4  0  
225  1385  4  1  29  2  0  
226  1389  4  1  28  4  0  
227  1394  5  1  30  2  0  
228  1398  4  1  30  3  0  
229  1401  3  1  28  3  1  
230  1406  5  1  28  3  1  
231  1411  5  1  28  4  0  
232  1416  5  1  26  6  0  
233  1421  5  1  28  2  0  
234  1426  5  1  28  4  0  
235  1430  4  1  27  2  2  
236  1435  5  1  27  4  0  
237  1440  5  1  27  4  0  
238  1443  3  1  27  1  1  
239  1448  5  1  26  5  0  
240  1452  4  1  28  1  0  
241  1456  4  1  26  4  1  
242  1461  5  1  26  3  1  
243  1464  3  1  25  1  2  
244  1469  5  1  24  4  1  
245  1472  3  1  22  2  2  
246  1477  5  1  22  4  0  
247  1481  4  1  22  2  1  
248  1484  3  1  22  1  1  
249  1489  5  1  23  3  0  
250  1493  4  1  23  3  0  
251  1497  4  1  25  0  1  
252  1500  3  1  24  1  2  
253  1505  5  1  25  3  0  
254  1510  5  1  23  6  0  
255  1514  4  1  25  1  0  
256  1519  5  1  27  2  0  
257  1524  5  1  26  5  0  
258  1528  4  1  27  2  0  
259  1532  4  1  29  1  0  
260  1536  4  1  30  2  0  
261  1540  4  1  29  4  0  
262  1544  4  1  26  6  0  
263  1549  5  1  28  2  0  
264  1553  4  1  29  2  0  
265  1557  4  1  29  2  1  
266  1561  4  1  29  2  1  
267  1565  4  1  27  3  2  
268  1569  4  1  26  3  1  
269  1573  4  1  27  1  1  
270  1578  5  1  28  3  0  
271  1582  4  1  28  2  1  
272  1585  3  1  27  0  3  
273  1590  5  1  27  3  1  
274  1594  4  1  26  3  1  
275  1598  4  1  26  2  1  
276  1601  3  1  27  0  1  
277  1605  4  1  27  3  0  
278  1609  4  1  27  2  1  
279  1613  4  1  26  4  0  
280  1618  5  1  28  0  2  
281  1621  3  1  25  4  1  
282  1624  3  1  25  1  1  
283  1628  4  1  26  1  1  
284  1633  5  1  26  3  1  
285  1637  4  1  25  4  0  
286  1641  4  1  26  2  0  
287  1645  4  1  26  3  0  
288  1650  5  1  26  4  0  
289  1655  5  1  27  3  0  
290  1659  4  1  26  4  0  
291  1663  4  1  26  3  0  
292  1669  6  1  25  5  1  
293  1674  5  1  24  5  0  
294  1679  5  1  24  4  0  
295  1684  5  1  26  2  0  
296  1688  4  1  27  2  0  
297  1691  3  1  26  2  1  
298  1694  3  1  26  1  1  
299  1699  5  1  26  3  1  
300  1703  4  1  24  3  2  
301  1709  6  1  23  6  0  
302  1715  6  1  25  2  1  
303  1719  4  1  25  3  0  
304  1724  5  1  25  4  0  
305  1730  6  1  25  4  1  
306  1735  5  1  26  2  1  
307  1739  4  1  25  3  1  
308  1743  4  1  25  2  1  
309  1748  5  1  25  4  0  
310  1751  3  1  24  3  0  
311  1757  6  1  22  6  1  
312  1763  6  1  24  3  0  
313  1769  6  1  26  3  0  
314  1773  4  1  26  2  1  
315  1778  5  1  27  2  1  
316  1782  4  1  28  2  0  
317  1786  4  1  26  4  1  
318  1791  5  1  28  2  0  
319  1795  4  1  27  4  0  
320  1799  4  1  27  3  0  
321  1803  4  1  26  4  0  
322  1807  4  1  25  3  1  
323  1810  3  1  25  1  1  
324  1814  4  1  25  2  1  
325  1820  6  1  24  6  0  
326  1825  5  1  24  4  0  
327  1829  4  1  24  3  0  
328  1832  3  1  25  1  0  
329  1838  6  1  24  6  0  
330  1843  5  1  27  1  0  
331  1848  5  1  27  4  0  
332  1853  5  1  26  5  0  
333  1858  5  1  26  4  0  
334  1863  5  1  29  1  0  
335  1867  4  1  28  4  0  
336  1872  5  1  28  4  0  
337  1877  5  1  28  4  0  
338  1882  5  1  30  2  0  
339  1887  5  1  29  5  0  
340  1891  4  1  29  2  1  
341  1894  3  1  29  2  0  
342  1899  5  1  27  5  1  
343  1903  4  1  27  2  1  
344  1908  5  1  27  4  0  
345  1913  5  1  27  3  1  
346  1918  5  1  28  3  0  
347  1922  4  1  29  1  1  
348  1927  5  1  29  4  0  
349  1931  4  1  25  5  2  
350  1934  3  1  25  0  2  
351  1937  3  1  25  2  0  
352  1941  4  1  25  2  1  
353  1945  4  1  24  4  0  
354  1949  4  1  25  2  0  
355  1953  4  1  25  2  1  
356  1957  4  1  25  2  1  
357  1960  3  1  26  1  0  
358  1963  3  1  27  0  1  
359  1967  4  1  27  3  0  
360  1971  4  1  27  3  0  
361  1975  4  1  28  1  1  
362  1980  5  1  27  5  0  
363  1985  5  1  30  1  0  
364  1990  5  1  29  4  1  
365  1994  4  1  29  2  1  
366  1998  4  1  27  5  0  
367  2002  4  1  25  4  1  
368  2006  4  1  26  1  1  
369  2011  5  1  24  4  2  
370  2015  4  1  24  2  1  
371  2020  5  1  25  3  0  
372  2024  4  1  23  3  2  
373  2027  3  1  24  0  1  
374  2033  6  1  25  4  0  
375  2038  5  1  26  3  0  
376  2043  5  1  26  4  0  
377  2047  4  1  28  1  0  
378  2052  5  1  29  3  0  
379  2056  4  1  29  3  0  
380  2060  4  1  30  2  0  
381  2064  4  1  29  4  0  
382  2069  5  1  31  2  0  
383  2072  3  1  32  1  0  
384  2076  4  1  32  3  0  
385  2080  4  1  30  5  0  
386  2084  4  1  30  2  1  
387  2087  3  1  31  1  0  
388  2091  4  1  30  3  1  
389  2095  4  1  29  4  0  
390  2099  4  1  29  2  1  
391  2103  4  1  29  3  0  
392  2107  4  1  29  2  1  
393  2111  4  1  28  4  0  
394  2115  4  1  28  3  0  
395  2119  4  1  27  1  3  
396  2123  4  1  29  1  0  
397  2127  4  1  27  4  1  
398  2130  3  1  27  0  2  
399  2134  4  1  28  1  1  
400  2139  5  1  29  2  1  
401  2143  4  1  27  5  0  
402  2147  4  1  27  3  0  
403  2152  5  1  27  4  0  
404  2156  4  1  29  1  0  
405  2161  5  1  29  4  0  
406  2165  4  1  28  2  2  
407  2170  5  1  28  3  1  
408  2175  5  1  29  3  0  
409  2179  4  1  28  3  1  
410  2184  5  1  29  3  0  
411  2190  6  1  28  5  1  
412  2194  4  1  28  3  0  
413  2198  4  1  28  2  1  
414  2202  4  1  28  3  0  
415  2207  5  1  28  3  1  
416  2212  5  1  29  1  2  
417  2216  4  1  29  2  1  
418  2219  3  1  30  1  0  
419  2223  4  1  30  3  0  
420  2229  6  1  31  4  0  
421  2233  4  1  30  3  1  
422  2238  5  1  29  5  0  
423  2242  4  1  29  3  0  
424  2246  4  1  28  4  0  
425  2250  4  1  28  3  0  
426  2254  4  1  28  2  1  
427  2258  4  1  28  2  1  
428  2263  5  1  27  4  1  
429  2267  4  1  27  2  1  
430  2271  4  1  28  1  1  
431  2276  5  1  29  3  0  
432  2281  5  1  29  2  2  
433  2285  4  1  29  2  1  
434  2289  4  1  28  2  2  
435  2292  3  1  29  1  0  
436  2296  4  1  29  3  0  
437  2300  4  1  29  3  0  
438  2304  4  1  28  4  0  
439  2309  5  1  28  4  0  
440  2314  5  1  29  3  0  
441  2318  4  1  28  4  0  
442  2322  4  1  30  1  0  
443  2326  4  1  28  3  2  
444  2331  5  1  27  4  1  
445  2335  4  1  27  2  1  
446  2338  3  1  27  1  1  
447  2343  5  1  26  4  1  
448  2347  4  1  26  3  0  
449  2350  3  1  27  1  0  
450  2354  4  1  27  3  0  
451  2358  4  1  27  3  0  
452  2362  4  1  28  1  1  
453  2366  4  1  29  1  1  
454  2371  5  1  30  3  0  
455  2376  5  1  30  3  1  
456  2381  5  1  29  3  2  
457  2385  4  1  28  3  1  
458  2389  4  1  29  1  1  
459  2393  4  1  30  2  0  
460  2397  4  1  30  2  1  
461  2401  4  1  30  3  0  
462  2405  4  1  29  3  1  
463  2410  5  1  28  5  0  
464  2415  5  1  31  1  0  
465  2419  4  1  32  1  1  
466  2424  5  1  33  3  0  
467  2429  5  1  31  5  1  
468  2433  4  1  31  3  0  
469  2437  4  1  31  1  2  
470  2442  5  1  31  3  1  
471  2446  4  1  30  4  0  
472  2451  5  1  32  2  0  
473  2457  6  1  31  5  1  
474  2464  7  1  31  6  0  
475  2469  5  1  30  4  1  
476  2474  5  1  29  4  1  
477  2479  5  1  28  3  2  
478  2484  5  1  28  2  2  
479  2489  5  1  29  2  1  
480  2493  4  1  28  4  0  
481  2497  4  1  29  2  0  
482  2502  5  1  28  3  2  
483  2506  4  1  28  3  0  
484  2511  5  1  30  2  0  
485  2515  4  1  29  4  0  
486  2520  5  1  29  4  0  
487  2523  3  1  30  1  0  
488  2528  5  1  29  3  2  
489  2533  5  1  31  1  1  
490  2538  5  1  29  6  0  
491  2544  6  1  29  5  0  
492  2547  3  1  30  1  0  
493  2551  4  1  28  4  1  
494  2556  5  1  28  3  1  
495  2559  3  1  27  2  1  
496  2564  5  1  29  2  0  
497  2567  3  1  30  0  1  
498  2571  4  1  28  5  0  
499  2574  3  1  28  2  0  
500  2578  4  1  29  2  0  
501  2581  3  1  29  1  1  
502  2585  4  1  28  4  0  
503  2588  3  1  28  1  1  
504  2592  4  1  29  2  0  
505  2597  5  1  29  4  0  
506  2601  4  1  30  2  0  
507  2605  4  1  31  0  2  
508  2610  5  1  30  4  1  
509  2614  4  1  30  3  0  
510  2618  4  1  28  4  1  
511  2623  5  1  27  3  2  
512  2628  5  1  27  4  0  
513  2632  4  1  26  3  1  
514  2636  4  1  27  2  0  
515  2642  6  1  26  6  0  
516  2646  4  1  26  3  0  
517  2651  5  1  27  3  0  
518  2656  5  1  28  2  1  
519  2660  4  1  29  2  0  
520  2663  3  1  28  2  1  
521  2668  5  1  29  2  1  
522  2672  4  1  28  3  1  
523  2675  3  1  27  1  2  
524  2679  4  1  29  1  0  
525  2684  5  1  27  5  1  
526  2688  4  1  26  3  1  
527  2693  5  1  26  3  1  
528  2698  5  1  25  4  1  
529  2703  5  1  25  4  0  
530  2707  4  1  25  2  1  
531  2713  6  1  26  3  1  
532  2717  4  1  26  2  1  
533  2722  5  1  26  4  0  
534  2726  4  1  25  4  0  
535  2730  4  1  25  3  0  
536  2734  4  1  26  2  0  
537  2737  3  1  26  1  1  
538  2741  4  1  27  1  1  
539  2745  4  1  29  1  0  
540  2749  4  1  30  1  1  
541  2755  6  1  29  5  1  
542  2758  3  1  29  1  1  
543  2762  4  1  30  2  0  
544  2766  4  1  29  3  1  
545  2770  4  1  29  2  1  
546  2774  4  1  28  2  2  
547  2778  4  1  26  4  1  
548  2782  4  1  27  1  1  
549  2786  4  1  27  3  0  
550  2790  4  1  27  2  1  
551  2794  4  1  27  3  0  
552  2799  5  1  29  1  1  
553  2802  3  1  29  1  1  
554  2807  5  1  28  4  1  
555  2811  4  1  26  4  1  
556  2815  4  1  25  3  1  
557  2819  4  1  26  2  0  
558  2823  4  1  26  3  0  
559  2827  4  1  27  1  1  
560  2830  3  1  28  0  1  
561  2835  5  1  28  4  0  
562  2841  6  1  30  3  0  
563  2845  4  1  30  3  0  
564  2849  4  1  28  3  2  
565  2854  5  1  28  4  0  
566  2858  4  1  28  3  0  
567  2863  5  1  29  3  0  
568  2867  4  1  29  2  1  
569  2871  4  1  30  1  1  
570  2874  3  1  29  2  1  
571  2878  4  1  26  5  1  
572  2881  3  1  27  0  1  
573  2886  5  1  27  4  0  
574  2890  4  1  27  2  1  
575  2893  3  1  26  1  2  
576  2898  5  1  25  3  2  
577  2903  5  1  26  3  0  
578  2908  5  1  25  3  2  
579  2911  3  1  26  0  1  
580  2914  3  1  23  5  0  
581  2919  5  1  24  3  0  
582  2923  4  1  24  3  0  
583  2927  4  1  24  3  0  
584  2931  4  1  25  1  1  
585  2935  4  1  26  2  0  
586  2939  4  1  25  3  1  
587  2943  4  1  27  0  1  
588  2946  3  1  27  2  0  
589  2950  4  1  27  2  1  
590  2954  4  1  28  1  1  
591  2959  5  1  28  4  0  
592  2964  5  1  30  2  0  
593  2968  4  1  30  3  0  
594  2972  4  1  31  2  0  
595  2976  4  1  32  2  0  
596  2980  4  1  29  4  2  
597  2985  5  1  31  2  0  
598  2988  3  1  31  1  1  
599  2992  4  1  32  2  0  
600  2997  5  1  28  7  1  
601  3002  5  1  29  2  1  
602  3007  5  1  30  2  1  
603  3010  3  1  31  1  0  
604  3014  4  1  30  3  1  
605  3019  5  1  29  5  0  
606  3024  5  1  27  4  2  
607  3027  3  1  27  1  1  
608  3031  4  1  27  2  1  
609  3035  4  1  26  4  0  
610  3039  4  1  27  1  1  
611  3043  4  1  28  2  0  
612  3048  5  1  27  5  0  
613  3052  4  1  25  5  0  
614  3055  3  1  25  2  0  
615  3060  5  1  25  4  0  
616  3064  4  1  25  3  0  
617  3067  3  1  25  0  2  
618  3071  4  1  24  2  2  
619  3074  3  1  24  2  0  
620  3079  5  1  24  4  0  
621  3083  4  1  24  3  0  
622  3086  3  1  25  1  0  
623  3090  4  1  26  2  0  
624  3094  4  1  26  2  1  
625  3098  4  1  27  2  0  
626  3101  3  1  27  1  1  
627  3105  4  1  27  2  1  
628  3109  4  1  28  2  0  
629  3113  4  1  30  1  0  
630  3117  4  1  29  4  0  
631  3121  4  1  29  2  1  
632  3125  4  1  26  5  1  
633  3129  4  1  26  2  1  
634  3133  4  1  26  3  0  
635  3136  3  1  27  0  1  
636  3140  4  1  26  3  1  
637  3143  3  1  26  1  1  
638  3147  4  1  26  2  1  
639  3152  5  1  27  3  0  
640  3156  4  1  25  3  2  
641  3159  3  1  26  0  1  
642  3163  4  1  26  3  0  
643  3167  4  1  27  1  1  
644  3170  3  1  28  1  0  
645  3174  4  1  29  2  0  
646  3177  3  1  28  1  2  
647  3181  4  1  28  1  2  
648  3185  4  1  25  5  1  
649  3188  3  1  26  0  1  
650  3192  4  1  26  2  1  
651  3195  3  1  26  1  1  
652  3200  5  1  26  4  0  
653  3204  4  1  27  1  1  
654  3208  4  1  26  4  0  
655  3211  3  1  27  1  0  
656  3216  5  1  27  4  0  
657  3220  4  1  27  2  1  
658  3223  3  1  26  2  1  
659  3227  4  1  26  2  1  
660  3233  6  1  27  3  1  
661  3237  4  1  27  3  0  
662  3241  4  1  27  2  1  
663  3244  3  1  27  2  0  
664  3248  4  1  24  6  0  
665  3251  3  1  25  1  0  
666  3255  4  1  24  4  0  
667  3258  3  1  25  0  1  
