0.001             	 6.0111742221e-03 -7.6497178229e-05 -2.0575910978e-22 	 5.8463515196e-03 -7.6593645969e-05 -6.7667857962e-22 	 1.6482270248e-04 9.6467740327e-08 4.7091946984e-22 
0.001             	 6.0902164594e-03 -6.1574699138e-05 -2.5560136041e-22 	 5.9231810402e-03 -6.1562641824e-05 -6.7613613029e-22 	 1.6703541916e-04 -1.2057313435e-08 4.2053476988e-22 
0.002             	 2.3198966354e-02 -1.4947007626e-02 -1.0381326150e-22 	 2.2494344694e-02 -1.4929297399e-02 -2.8488069952e-22 	 7.0462165978e-04 -1.7710227353e-05 1.8106743803e-22 
0.003             	 3.4021149237e-02 9.9081272583e-02 -5.1374137073e-22 	 3.2835580787e-02 9.8954640403e-02 -1.5083653133e-21 	 1.1855684505e-03 1.2663217980e-04 9.9462394257e-22 
0.004             	 4.9972839179e-02 -1.8549736690e-01 -2.6902656458e-21 	 4.7725586939e-02 -1.8536026318e-01 -3.0511372019e-21 	 2.2472522402e-03 -1.3710371860e-04 3.6087155610e-22 
0.005             	 6.4101225772e-02 2.5274707861e-01 -3.2349267360e-21 	 6.0342957061e-02 2.5255301500e-01 -5.3510662044e-21 	 3.7582687104e-03 1.9406360172e-04 2.1161394684e-21 
0.006             	 8.0352623917e-02 -2.9660337171e-01 -1.8440576853e-21 	 7.4521706768e-02 -2.9642830465e-01 -7.7914487485e-21 	 5.8309171490e-03 -1.7506705135e-04 5.9473910631e-21 
0.007             	 9.6691658574e-02 3.1314657470e-01 -2.6294746247e-21 	 8.8285946652e-02 3.1296174352e-01 -1.0462411139e-20 	 8.4057119215e-03 1.8483117962e-04 7.8329365144e-21 
0.008             	 1.1173219103e-01 -3.0418114638e-01 -8.8679534301e-21 	 1.0051611313e-01 -3.0402966310e-01 -1.2506675953e-20 	 1.1216077904e-02 -1.5148327721e-04 3.6387225226e-21 
0.009             	 1.2748116852e-01 2.7312743627e-01 -5.5781212462e-21 	 1.1344700837e-01 2.7299733183e-01 -1.4487099932e-20 	 1.4034160149e-02 1.3010443683e-04 8.9089786859e-21 
0.011             	 1.5445458172e-01 1.6376338284e-01 -8.2398483162e-21 	 1.3639876975e-01 1.6370952566e-01 -1.6364436179e-20 	 1.8055811965e-02 5.3857189193e-05 8.1245878625e-21 
0.012             	 1.6507370882e-01 -9.7382775121e-02 -9.2901449641e-21 	 1.4613683141e-01 -9.7387957868e-02 -1.6305174698e-20 	 1.8936877404e-02 5.1827469740e-06 7.0150297343e-21 
0.013             	 1.7739782074e-01 3.0530724141e-02 -1.0519281296e-20 	 1.5810334509e-01 3.0545550505e-02 -1.7274644426e-20 	 1.9294475643e-02 -1.4826363898e-05 6.7553631300e-21 
0.014             	 1.8763141913e-01 2.8722557778e-02 -1.2657550962e-20 	 1.6831463083e-01 2.8665180918e-02 -1.7339650628e-20 	 1.9316788301e-02 5.7376859553e-05 4.6820996662e-21 
0.015             	 2.0121108968e-01 -7.7626372681e-02 -5.8325784715e-21 	 1.8173365003e-01 -7.7569769180e-02 -1.9176367433e-20 	 1.9477439650e-02 -5.6603500500e-05 1.3343788961e-20 
0.016             	 2.1379661374e-01 1.1075910795e-01 -5.7430284802e-21 	 1.9370397223e-01 1.1067585483e-01 -2.0078351045e-20 	 2.0092641517e-02 8.3253121629e-05 1.4335322565e-20 
0.017             	 2.3090773176e-01 -1.2750517995e-01 -1.3328734755e-20 	 2.0938783630e-01 -1.2745220350e-01 -2.2903793157e-20 	 2.1519895462e-02 -5.2976451741e-05 9.5750584019e-21 
0.018             	 2.4677984074e-01 1.2635799568e-01 -5.6031380243e-21 	 2.2299444095e-01 1.2629315096e-01 -2.4336588330e-20 	 2.3785399787e-02 6.4844712159e-05 1.8733450305e-20 
0.019             	 2.6550207760e-01 -1.1016834379e-01 -1.8775449418e-20 	 2.3854649899e-01 -1.1014169944e-01 -2.7315008599e-20 	 2.6955578612e-02 -2.6644346727e-05 8.5395591806e-21 
0.021             	 3.0112838223e-01 -3.5947622433e-02 -7.7443126094e-21 	 2.6609135745e-01 -3.5968756288e-02 -3.0675677867e-20 	 3.5037024782e-02 2.1133855406e-05 2.2931365258e-20 
0.022             	 3.1766626606e-01 -1.5536259095e-02 -5.1758129124e-21 	 2.7829937356e-01 -1.5510259324e-02 -3.1053019007e-20 	 3.9366892491e-02 -2.5999770890e-05 2.5877206094e-20 
0.023             	 3.3457640683e-01 6.8046766881e-02 -2.1004209125e-20 	 2.9110224663e-01 6.7967433098e-02 -3.2378781957e-20 	 4.3474160195e-02 7.9333782865e-05 1.1374572832e-20 
0.024             	 3.5012754581e-01 -1.2002018112e-01 4.9732190197e-21 	 3.0302107649e-01 -1.1995039216e-01 -3.2404084729e-20 	 4.7106469326e-02 -6.9788966957e-05 3.7377303749e-20 
0.025             	 3.6550609665e-01 1.6351318893e-01 -2.5243052025e-20 	 3.1524780993e-01 1.6338893729e-01 -3.3520624985e-20 	 5.0258286713e-02 1.2425163705e-04 8.2775729604e-21 
0.026             	 3.8069990391e-01 -2.0044048786e-01 -4.9172498660e-21 	 3.2771050228e-01 -2.0034166145e-01 -3.4067737550e-20 	 5.2989401639e-02 -9.8826410657e-05 2.9150487684e-20 
0.027             	 3.9570202641e-01 2.2315929277e-01 -1.0502423523e-20 	 3.4017888179e-01 2.2301318890e-01 -3.5679573859e-20 	 5.5523144614e-02 1.4610387659e-04 2.5177150336e-20 
0.028             	 4.1166889976e-01 -2.3118000180e-01 -1.0573926770e-20 	 3.5360757931e-01 -2.3109249564e-01 -3.7114359851e-20 	 5.8061320453e-02 -8.7506160221e-05 2.6540433081e-20 
0.029             	 4.2814673565e-01 2.3827761280e-01 -3.7546578219e-20 	 3.6734811104e-01 2.3812846664e-01 -3.9714433640e-20 	 6.0798624609e-02 1.4914616141e-04 2.1678554209e-21 
0.031             	 4.6100953476e-01 3.9302099065e-01 -1.9391080635e-20 	 3.9393202958e-01 3.9274002634e-01 -4.3512802348e-20 	 6.7077505177e-02 2.8096431305e-04 2.4121721713e-20 
0.032             	 4.8043716848e-01 -5.0503932822e-01 -6.4107654042e-21 	 4.0988431300e-01 -5.0473451377e-01 -4.5253336378e-20 	 7.0552855477e-02 -3.0481444827e-04 3.8842570974e-20 
0.033             	 4.9570111002e-01 6.0377313741e-01 -1.9847527672e-20 	 4.2165195172e-01 6.0339116710e-01 -4.7036091320e-20 	 7.4049158300e-02 3.8197030599e-04 2.7188563649e-20 
0.034             	 5.1354351370e-01 -6.8376217138e-01 -4.1852126053e-20 	 4.3597583871e-01 -6.8337458653e-01 -4.7905112377e-20 	 7.7567674988e-02 -3.8758485112e-04 6.0529863247e-21 
0.035             	 5.2751805940e-01 7.2543288915e-01 -2.4183941416e-20 	 4.4671359779e-01 7.2501467668e-01 -4.8801018093e-20 	 8.0804461608e-02 4.1821247855e-04 2.4617076677e-20 
0.036             	 5.4476674449e-01 -7.3046114383e-01 -2.8259565459e-20 	 4.6079521812e-01 -7.3009658849e-01 -4.9535971319e-20 	 8.3971526368e-02 -3.6455533519e-04 2.1276405860e-20 
0.037             	 5.5976499005e-01 6.8630565002e-01 -1.2526229138e-20 	 4.7274337583e-01 6.8594370800e-01 -5.0369424053e-20 	 8.7021614220e-02 3.6194201619e-04 3.7843194915e-20 
0.038             	 5.7653447833e-01 -6.0412851739e-01 -9.2164109379e-21 	 4.8646643509e-01 -6.0388278687e-01 -5.1322565661e-20 	 9.0068043237e-02 -2.4573051922e-04 4.2106154723e-20 
0.039             	 5.9380957608e-01 4.8933286379e-01 -4.2452014869e-20 	 5.0049878826e-01 4.8910662429e-01 -5.2772948365e-20 	 9.3310787814e-02 2.2623949713e-04 1.0320933496e-20 
0.041             	 6.3032320411e-01 2.2225099136e-01 -5.6129608870e-20 	 5.2936934057e-01 2.2217162350e-01 -5.6412720057e-20 	 1.0095386354e-01 7.9367856156e-05 2.8311118725e-22 
0.042             	 6.4813747682e-01 -9.5408533760e-02 -1.5247505971e-20 	 5.4266971426e-01 -9.5460020399e-02 -5.7812207990e-20 	 1.0546776256e-01 5.1486639073e-05 4.2564702019e-20 
0.043             	 6.6909021185e-01 -1.3990069714e-02 -3.7888590773e-20 	 5.5868049631e-01 -1.3972799432e-02 -6.0337723165e-20 	 1.1040971554e-01 -1.7270281680e-05 2.2449132392e-20 
0.044             	 6.8641068513e-01 8.0470257773e-02 -1.2220415334e-20 	 5.7095007371e-01 8.0361940280e-02 -6.1300074578e-20 	 1.1546061141e-01 1.0831749288e-04 4.9079659244e-20 
0.045             	 7.0736417981e-01 -1.0361492939e-01 -1.8985430037e-20 	 5.8677749594e-01 -1.0360651444e-01 -6.3506979763e-20 	 1.2058668387e-01 -8.4149482091e-06 4.4521549726e-20 
0.046             	 7.2320250149e-01 8.3684082643e-02 -1.5669359798e-20 	 5.9783023802e-01 8.3617931167e-02 -6.3690360887e-20 	 1.2537226346e-01 6.6151476768e-05 4.8021001088e-20 
0.047             	 7.4253193441e-01 -3.6990613048e-02 -4.9856465798e-20 	 6.1266029990e-01 -3.7053009788e-02 -6.5681096305e-20 	 1.2987163451e-01 6.2396739924e-05 1.5824630506e-20 
0.048             	 7.5780685551e-01 -4.8410510019e-02 -3.3905995909e-20 	 6.2385480413e-01 -4.8355900562e-02 -6.5607832091e-20 	 1.3395205138e-01 -5.4609457304e-05 3.1701836183e-20 
0.049             	 7.7558213978e-01 1.7490915793e-01 -5.7152401358e-20 	 6.3785209760e-01 1.7469484340e-01 -6.7440178320e-20 	 1.3773004218e-01 2.1431452335e-04 1.0287776962e-20 
0.051             	 8.0990703101e-01 5.3201783607e-01 -5.7816945449e-20 	 6.6499801631e-01 5.3158982455e-01 -7.0139983634e-20 	 1.4490901470e-01 4.2801152155e-04 1.2323038185e-20 
0.052             	 8.2711659891e-01 -6.9762793181e-01 -6.1367163869e-20 	 6.7851171900e-01 -6.9723339519e-01 -7.1364032421e-20 	 1.4860487990e-01 -3.9453661465e-04 9.9968685527e-21 
0.053             	 8.4571048638e-01 8.1292190497e-01 -4.9515869370e-20 	 6.9307685887e-01 8.1240040067e-01 -7.3519315500e-20 	 1.5263362751e-01 5.2150430353e-04 2.4003446130e-20 
0.054             	 8.6450535131e-01 -8.6449568767e-01 -3.9069777726e-20 	 7.0754720981e-01 -8.6408900272e-01 -7.5150561975e-20 	 1.5695814150e-01 -4.0668494792e-04 3.6080784249e-20 
0.055             	 8.8326762284e-01 8.4806089077e-01 -4.5803225139e-20 	 7.2163282270e-01 8.4759666822e-01 -7.6953384105e-20 	 1.6163480014e-01 4.6422255940e-04 3.1150158966e-20 
0.056             	 9.0220432462e-01 -7.9021718723e-01 -5.0643954233e-20 	 7.3574308248e-01 -7.8990800991e-01 -7.8300117801e-20 	 1.6646124214e-01 -3.0917731904e-04 2.7656163568e-20 
0.057             	 9.2133531469e-01 6.7563040392e-01 -4.2407362730e-20 	 7.4991933108e-01 6.7528811898e-01 -7.9836796051e-20 	 1.7141598361e-01 3.4228493742e-04 3.7429433321e-20 
0.058             	 9.4002974251e-01 -5.3574612399e-01 -8.5439302947e-20 	 7.6369699922e-01 -5.3561398336e-01 -8.0647050374e-20 	 1.7633274329e-01 -1.3214063596e-04 -4.7922525730e-21 
0.059             	 9.5849941480e-01 3.8973088686e-01 -5.9929806465e-20 	 7.7727737776e-01 3.8953606371e-01 -8.2075563561e-20 	 1.8122203704e-01 1.9482315297e-04 2.2145757096e-20 
0.061             	 9.9539457528e-01 1.7772196360e-01 -1.5770986561e-20 	 8.0462612660e-01 1.7760969652e-01 -8.4292467694e-20 	 1.9076844868e-01 1.1226708453e-04 6.8521481133e-20 
0.062             	 1.0143116790e+00 -1.2125821536e-01 -7.4219334510e-20 	 8.1875161135e-01 -1.2125789656e-01 -8.4949973064e-20 	 1.9556006762e-01 -3.1880151237e-07 1.0730638554e-20 
0.063             	 1.0335846282e+00 8.7403672005e-02 -9.1096904995e-20 	 8.3310402563e-01 8.7295000657e-02 -8.7214090616e-20 	 2.0048060254e-01 1.0867134754e-04 -3.8828143787e-21 
0.064             	 1.0531752958e+00 -4.6772803473e-02 -8.7756046426e-20 	 8.4763136307e-01 -4.6821661157e-02 -8.8170752338e-20 	 2.0554393272e-01 4.8857684851e-05 4.1470591180e-22 
0.065             	 1.0730893593e+00 -6.6640335554e-02 -4.8610373517e-20 	 8.6227562323e-01 -6.6614578892e-02 -9.0507089494e-20 	 2.1081373607e-01 -2.5756662082e-05 4.1896715977e-20 
0.066             	 1.0921556758e+00 2.1993273686e-01 -6.8995079442e-20 	 8.7599275994e-01 2.1965219698e-01 -9.1453030066e-20 	 2.1616291586e-01 2.8053987246e-04 2.2457950624e-20 
0.067             	 1.1130320514e+00 -3.7835052563e-01 -8.4347143962e-20 	 8.9138150882e-01 -3.7812908889e-01 -9.3969654780e-20 	 2.2165054255e-01 -2.2143673417e-04 9.6225108177e-21 
0.068             	 1.1315588081e+00 5.1170795793e-01 -1.1035889553e-19 	 9.0446429224e-01 5.1127144228e-01 -9.4521579580e-20 	 2.2709451588e-01 4.3651564591e-04 -1.5837315946e-20 
0.069             	 1.1520833445e+00 -6.1287697322e-01 -9.5545441834e-20 	 9.1959477533e-01 -6.1255251098e-01 -9.6969746405e-20 	 2.3248856915e-01 -3.2446224187e-04 1.4243045709e-21 
0.071             	 1.1898123485e+00 -5.8170449244e-01 -5.3018629953e-20 	 9.4703693448e-01 -5.8148574835e-01 -9.9427724374e-20 	 2.4277541402e-01 -2.1874408384e-04 4.6409094421e-20 
0.072             	 1.2076127304e+00 4.9606176015e-01 -6.0693866565e-20 	 9.5989406387e-01 4.9576490752e-01 -9.9330997481e-20 	 2.4771866649e-01 2.9685263095e-04 3.8637130916e-20 
0.073             	 1.2265903480e+00 -4.0228131137e-01 -3.0570612906e-20 	 9.7407015029e-01 -4.0218144706e-01 -1.0143925940e-19 	 2.5252019769e-01 -9.9864301961e-05 7.0868646493e-20 
0.074             	 1.2453113421e+00 3.0327735711e-01 -7.3982128890e-20 	 9.8796756901e-01 3.0308784882e-01 -1.0202283557e-19 	 2.5734377312e-01 1.8950829620e-04 2.8040706685e-20 
0.075             	 1.2658262936e+00 -1.9985665469e-01 -6.1215109515e-20 	 1.0034756562e+00 -1.9987564811e-01 -1.0438568926e-19 	 2.6235063743e-01 1.8993423994e-05 4.3170579744e-20 
0.076             	 1.2846878858e+00 5.7245560314e-02 -1.4524730989e-19 	 1.0171372875e+00 5.7216751916e-02 -1.0518210039e-19 	 2.6755059829e-01 2.8808397809e-05 -4.0065209504e-20 
0.077             	 1.3054353583e+00 8.6082832591e-02 -4.5110195923e-20 	 1.0324425385e+00 8.5882375662e-02 -1.0752245065e-19 	 2.7299281983e-01 2.0045692854e-04 6.2412254723e-20 
0.078             	 1.3257620740e+00 -2.3587675482e-01 -4.4509954038e-20 	 1.0470173068e+00 -2.3575031357e-01 -1.0855257420e-19 	 2.7874476723e-01 -1.2644124572e-04 6.4042620159e-20 
0.079             	 1.3460597292e+00 3.5203885691e-01 -1.0691233860e-19 	 1.0614019960e+00 3.5170500242e-01 -1.1044413695e-19 	 2.8465773316e-01 3.3385449501e-04 3.5317983462e-21 
0.081             	 1.3876015995e+00 4.6549502144e-01 -1.9518466703e-20 	 1.0908781429e+00 4.6515489804e-01 -1.1324160613e-19 	 2.9672345656e-01 3.4012339372e-04 9.3723139428e-20 
0.082             	 1.4074126482e+00 -4.5130664341e-01 -4.7500908921e-20 	 1.1047197100e+00 -4.5116892774e-01 -1.1413721877e-19 	 3.0269293820e-01 -1.3771567768e-04 6.6636309853e-20 
0.083             	 1.4277213584e+00 3.7147464417e-01 -8.6863972353e-20 	 1.1191137516e+00 3.7124497541e-01 -1.1575227075e-19 	 3.0860760680e-01 2.2966876113e-04 2.8888298398e-20 
0.084             	 1.4476028118e+00 -2.3773475677e-01 -1.0862855302e-19 	 1.1331622489e+00 -2.3775926794e-01 -1.1662078430e-19 	 3.1444056291e-01 2.4511167138e-05 7.9922312882e-21 
0.085             	 1.4679743983e+00 4.6821185308e-02 -8.5870015127e-20 	 1.1477311592e+00 4.6814325748e-02 -1.1845391468e-19 	 3.2024323912e-01 6.8595598568e-06 3.2583899554e-20 
0.086             	 1.4873059368e+00 1.4937188213e-01 4.8627411886e-20 	 1.1613389217e+00 1.4912581564e-01 -1.1908879124e-19 	 3.2596701516e-01 2.4606648712e-04 1.6771620312e-19 
0.087             	 1.5086119838e+00 -3.5257856930e-01 -1.6717207879e-19 	 1.1768879276e+00 -3.5238018294e-01 -1.2138713593e-19 	 3.3172405629e-01 -1.9838636295e-04 -4.5784942851e-20 
0.088             	 1.5278533937e+00 5.2643315454e-01 -1.4229796219e-19 	 1.1903863861e+00 5.2599640756e-01 -1.2192008408e-19 	 3.3746700756e-01 4.3674697874e-04 -2.0377878115e-20 
0.089             	 1.5498733703e+00 -6.7917125188e-01 -6.7729867456e-20 	 1.2065236930e+00 -6.7884776495e-01 -1.2469684978e-19 	 3.4334967736e-01 -3.2348693416e-04 5.6966982326e-20 
0.091             	 1.5911647747e+00 -8.4717619415e-01 -3.4385825456e-21 	 1.2358336679e+00 -8.4682259906e-01 -1.2793457228e-19 	 3.5533110680e-01 -3.5359508449e-04 1.2449598974e-19 
0.092             	 1.6104157683e+00 8.4878398022e-01 -1.0045588500e-19 	 1.2489640573e+00 8.4824581657e-01 -1.2796282233e-19 	 3.6145171101e-01 5.3816364590e-04 2.7506937330e-20 
0.093             	 1.6325043298e+00 -8.1006013007e-01 -9.3610870809e-20 	 1.2648558118e+00 -8.0977611489e-01 -1.3081686782e-19 	 3.6764851796e-01 -2.8401518025e-04 3.7205997009e-20 
0.094             	 1.6518265743e+00 7.0979102976e-01 -5.2834176269e-20 	 1.2780589942e+00 7.0938041338e-01 -1.3067790108e-19 	 3.7376758013e-01 4.1061637777e-04 7.7843724813e-20 
0.095             	 1.6736832661e+00 -5.8051624992e-01 -1.6282824286e-19 	 1.2937894035e+00 -5.8038186253e-01 -1.3327774603e-19 	 3.7989386253e-01 -1.3438738486e-04 -2.9550496827e-20 
0.096             	 1.6930888912e+00 4.1192312171e-01 -1.2147457239e-20 	 1.3071293788e+00 4.1170672727e-01 -1.3324381343e-19 	 3.8595951242e-01 2.1639443951e-04 1.2109635619e-19 
0.097             	 1.7145686577e+00 -2.4408839405e-01 -7.2674827061e-20 	 1.3225135176e+00 -2.4412549662e-01 -1.3562155892e-19 	 3.9205514011e-01 3.7102571224e-05 6.2946731855e-20 
0.098             	 1.7348544938e+00 6.9881846681e-02 -1.0725995260e-19 	 1.3366633892e+00 6.9838435184e-02 -1.3610091662e-19 	 3.9819110458e-01 4.3411496433e-05 2.8840964022e-20 
0.099             	 1.7562174149e+00 6.4323664423e-02 -1.8408699806e-19 	 1.3517780273e+00 6.4153061045e-02 -1.3817218360e-19 	 4.0443938755e-01 1.7060337799e-04 -4.5914814465e-20 
0.101             	 1.7993255152e+00 2.5181464303e-01 -1.1413856716e-19 	 1.3820357607e+00 2.5157253122e-01 -1.4115319713e-19 	 4.1728975452e-01 2.4211181011e-04 2.7014629962e-20 
0.102             	 1.8199522786e+00 -2.9431045601e-01 -1.5756354167e-19 	 1.3961000986e+00 -2.9425589235e-01 -1.4222027295e-19 	 4.2385217997e-01 -5.4563659662e-05 -1.5343268716e-20 
0.103             	 1.8423379273e+00 2.8165888594e-01 -8.3574186733e-20 	 1.4117642773e+00 2.8143882364e-01 -1.4420979685e-19 	 4.3057364992e-01 2.2006230728e-04 6.0635610119e-20 
0.104             	 1.8634787684e+00 -2.4518971101e-01 -4.5104241017e-20 	 1.4261585325e+00 -2.4519807703e-01 -1.4541721972e-19 	 4.3732023593e-01 8.3660248433e-06 1.0031297870e-19 
0.105             	 1.8856711084e+00 1.5518179066e-01 -4.4466865957e-20 	 1.4415260787e+00 1.5505900558e-01 -1.4718134177e-19 	 4.4414502969e-01 1.2278508830e-04 1.0271447581e-19 
0.106             	 1.9064818643e+00 -4.6293021843e-02 -2.3226783377e-19 	 1.4555665035e+00 -4.6424065056e-02 -1.4813853797e-19 	 4.5091536082e-01 1.3104321285e-04 -8.4129295804e-20 
0.107             	 1.9283965993e+00 -9.8869580010e-02 -6.1374657420e-20 	 1.4707866100e+00 -9.8845827838e-02 -1.5009345736e-19 	 4.5760998927e-01 -2.3752171888e-05 8.8718799938e-20 
0.108             	 1.9488829438e+00 2.4950812869e-01 -1.2144491383e-19 	 1.4846476242e+00 2.4921418691e-01 -1.5026573448e-19 	 4.6423531963e-01 2.9394177844e-04 2.8820820650e-20 
0.109             	 1.9698758896e+00 -4.0706143333e-01 -1.7105001095e-19 	 1.4992882518e+00 -4.0687498805e-01 -1.5263157644e-19 	 4.7058763781e-01 -1.8644527668e-04 -1.8418434510e-20 
0.111             	 2.0124927874e+00 -5.4877251136e-01 -8.4462079264e-20 	 1.5290069349e+00 -5.4857236254e-01 -1.5524030387e-19 	 4.8348585249e-01 -2.0014881708e-04 7.0778224610e-20 
0.112             	 2.0339716746e+00 5.4417054166e-01 2.9003036048e-20 	 1.5439550737e+00 5.4378346801e-01 -1.5623173763e-19 	 4.9001660084e-01 3.8707364715e-04 1.8523477368e-19 
0.113             	 2.0568532774e+00 -5.1506064402e-01 -1.1502829227e-19 	 1.5600611380e+00 -5.1491854306e-01 -1.5835386914e-19 	 4.9679213935e-01 -1.4210095781e-04 4.3325576866e-20 
0.114             	 2.0762619810e+00 4.5510507508e-01 7.5242111775e-20 	 1.5727107569e+00 4.5478331478e-01 -1.5885673966e-19 	 5.0355122413e-01 3.2176030087e-04 2.3409885143e-19 
0.115             	 2.1003228161e+00 -4.2501227106e-01 -3.6868840071e-20 	 1.5898239232e+00 -4.2489598512e-01 -1.6132191928e-19 	 5.1049889293e-01 -1.1628593983e-04 1.2445307920e-19 
0.116             	 2.1214742418e+00 3.7368001235e-01 -1.4193581082e-19 	 1.6039708514e+00 3.7338727335e-01 -1.6200051654e-19 	 5.1750339034e-01 2.9273899901e-04 2.0064705714e-20 
0.117             	 2.1447832057e+00 -3.6585866906e-01 -3.3693277191e-20 	 1.6201938171e+00 -3.6575548495e-01 -1.6440121338e-19 	 5.2458938858e-01 -1.0318411140e-04 1.3070793618e-19 
0.118             	 2.1657647230e+00 3.8174065361e-01 -1.6989316350e-19 	 1.6340936643e+00 3.8139446952e-01 -1.6477322249e-19 	 5.3167105876e-01 3.4618409699e-04 -5.1199410031e-21 
0.119             	 2.1883051769e+00 -4.1267887387e-01 -2.1732400743e-19 	 1.6495379050e+00 -4.1252946155e-01 -1.6697095805e-19 	 5.3876727192e-01 -1.4941232202e-04 -5.0353049380e-20 
0.121             	 2.2322360870e+00 -4.8450184717e-01 -6.3311378304e-20 	 1.6792644311e+00 -4.8429602608e-01 -1.6973464559e-19 	 5.5297165592e-01 -2.0582109044e-04 1.0642326729e-19 
0.122             	 2.2537096393e+00 5.4474279892e-01 -8.8480185549e-20 	 1.6936435418e+00 5.4429340544e-01 -1.6999806342e-19 	 5.6006609748e-01 4.4939347613e-04 8.1517877871e-20 
