Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  0.2339370887397779  1.5203545437182584  
1  2  0.1879232676596391  2.1489371210539736  
1  3  0.0013375954660861  1.0764441504314282  
1  4  0.0030230630233684  0.0707140183069080  
1  5  0.0004472091990539  0.0585244850416840  
1  6  0.0002933079038173  0.0069046115215777  
1  7  0.0000124847122595  0.0054539493974113  
1  8  0.0000308653856475  0.0005539705506836  
1  9  0.0000018726035503  0.0004368780625206  
1  10  0.0000053776096273  0.0000762685773320  
1  11  0.0000001590183137  0.0000632758377940  
1  12  0.0000000151612139  0.0000001967681247  
1  13  0.0000000151880130  0.0000001958504666  
1  14  0.0000000151425062  0.0000000032143338  
1  15  0.0000000000182158  0.0000000004053983  
1  16  0.0000000000146918  0.0000000003237916  
1  17  0.0000000000012483  0.0000000000316285  
1  18  0.0000000000007531  0.0000000000421340  
1  19  0.0000000000000754  0.0000000000049251  
1  20  0.0000000000000279  0.0000000000047653  
1  21  0.0000000000000002  0.0000000000000036  
2  1  0.1898856603366029  1.5203545437182604  
2  2  0.0038307696587051  0.0989009830846883  
2  3  0.0036145012217542  0.1116333449483874  
2  4  0.0010412615817869  0.0760289709640936  
2  5  0.0014848190350496  0.0202936092700812  
2  6  0.0002052405606993  0.0113403236996995  
2  7  0.0004671646127620  0.0024926800444940  
2  8  0.0000227802199677  0.0008002506035902  
2  9  0.0000055064043702  0.0006623934867134  
2  10  0.0000009620682720  0.0001316720475414  
2  11  0.0000007960946519  0.0000510831584791  
2  12  0.0000002538379384  0.0000102988314815  
2  13  0.0000001712170536  0.0000061516412050  
2  14  0.0000000067820223  0.0000009219726976  
2  15  0.0000000052884021  0.0000006649002108  
2  16  0.0000000003799511  0.0000000215401005  
2  17  0.0000000007944706  0.0000000100524972  
2  18  0.0000000003586649  0.0000000124407349  
2  19  0.0000000000249139  0.0000000006632554  
2  20  0.0000000000118942  0.0000000007132784  
2  21  0.0000000000000002  0.0000000000000074  
3  1  0.1597278212974007  1.5203545437182586  
3  2  0.0011091096962593  0.0458768217110684  
3  3  0.0019699300265090  0.0242458058320271  
3  4  0.0006033843586513  0.0267949304269515  
3  5  0.0003125129905238  0.0041127555598949  
3  6  0.0000716369682221  0.0028280783814572  
3  7  0.0000771164772811  0.0011007880208966  
3  8  0.0000046689237781  0.0003266065709560  
3  9  0.0000021990781184  0.0002201100077348  
3  10  0.0000005043728966  0.0000222834531310  
3  11  0.0000004348415172  0.0000137943913296  
3  12  0.0000000536758469  0.0000022554917139  
3  13  0.0000000424126014  0.0000012922456633  
3  14  0.0000000026091102  0.0000003601559086  
3  15  0.0000000016544615  0.0000002139772650  
3  16  0.0000000001604594  0.0000000058865405  
3  17  0.0000000001118963  0.0000000042674388  
3  18  0.0000000000943987  0.0000000030198152  
3  19  0.0000000000094925  0.0000000004990660  
3  20  0.0000000000072726  0.0000000002336552  
3  21  0.0000000000000004  0.0000000000000081  
4  1  0.1378068471859939  1.5203545437182622  
4  2  0.0003432589178020  0.0080051392492562  
4  3  0.0002783007982412  0.0131538677825059  
4  4  0.0001582070046694  0.0084778466187145  
4  5  0.0001031432154008  0.0012283825066226  
4  6  0.0000196783568767  0.0006387470258738  
4  7  0.0000193996608170  0.0003230978919012  
4  8  0.0000021898774833  0.0000949021744602  
4  9  0.0000013196216367  0.0000864440881662  
4  10  0.0000002520028912  0.0000077924868132  
4  11  0.0000001053707681  0.0000050858457296  
4  12  0.0000000161730779  0.0000009836465566  
4  13  0.0000000062424070  0.0000004722451649  
4  14  0.0000000019489704  0.0000000996643129  
4  15  0.0000000001875836  0.0000000553527279  
4  16  0.0000000000429982  0.0000000021164350  
4  17  0.0000000000523939  0.0000000021765946  
4  18  0.0000000000274901  0.0000000015436052  
4  19  0.0000000000019301  0.0000000002697825  
4  20  0.0000000000011444  0.0000000001973708  
4  21  0.0000000000000005  0.0000000000000208  
5  1  0.1211620053815476  1.5203545437182582  
5  2  0.0010445290718432  0.0570971231642539  
5  3  0.0022898492956398  0.0454993242385943  
5  4  0.0007222315550096  0.0394720169210746  
5  5  0.0007223735788616  0.0124873564037998  
5  6  0.0000729854425036  0.0036892021340966  
5  7  0.0000690398124400  0.0022807137380851  
5  8  0.0000100219152861  0.0002122942707531  
5  9  0.0000036010646298  0.0002164709079787  
5  10  0.0000017602728048  0.0000295471903533  
5  11  0.0000003505908439  0.0000358436918906  
5  12  0.0000000888464160  0.0000039062387467  
5  13  0.0000000372575890  0.0000033521682265  
5  14  0.0000000049278815  0.0000004623981947  
5  15  0.0000000019613835  0.0000003182861692  
5  16  0.0000000002710454  0.0000000369204720  
5  17  0.0000000001828367  0.0000000304194265  
5  18  0.0000000001775742  0.0000000157509332  
5  19  0.0000000000369898  0.0000000025699961  
5  20  0.0000000000161129  0.0000000017904022  
5  21  0.0000000000000002  0.0000000000000165  
6  1  0.1080968299698073  1.5203545437182677  
6  2  0.0000550186264088  0.0051882503601738  
6  3  0.0001451011114943  0.0013794048809010  
6  4  0.0000565714850979  0.0035012732286354  
6  5  0.0000139525704428  0.0003324158445402  
6  6  0.0000019279094632  0.0002962193540754  
6  7  0.0000029729747414  0.0000454212832254  
6  8  0.0000005475258072  0.0000391645273382  
6  9  0.0000002004468696  0.0000170718341944  
6  10  0.0000000310536525  0.0000033206369904  
6  11  0.0000000271039067  0.0000018808485775  
6  12  0.0000000036160249  0.0000002931699399  
6  13  0.0000000025923199  0.0000002357123650  
