TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
210  432  2  1  10  0  1  
211  434  2  1  10  0  1  
212  436  2  1  10  0  1  
213  438  2  1  10  0  1  
214  440  2  1  10  0  1  
215  442  2  1  10  0  1  
216  444  2  1  10  0  1  
217  446  2  1  10  0  1  
218  448  2  1  10  0  1  
219  450  2  1  10  0  1  
220  452  2  1  10  0  1  
221  454  2  1  10  0  1  
222  456  2  1  10  0  1  
223  458  2  1  10  0  1  
224  460  2  1  10  0  1  
225  462  2  1  10  0  1  
226  464  2  1  10  0  1  
227  466  2  1  10  0  1  
228  468  2  1  10  0  1  
229  470  2  1  10  0  1  
230  472  2  1  10  0  1  
231  474  2  1  10  0  1  
232  476  2  1  10  0  1  
233  478  2  1  10  0  1  
234  480  2  1  10  0  1  
235  482  2  1  10  0  1  
236  484  2  1  10  0  1  
237  486  2  1  10  0  1  
238  488  2  1  10  0  1  
239  490  2  1  10  0  1  
240  492  2  1  10  0  1  
241  494  2  1  10  0  1  
242  496  2  1  10  0  1  
243  498  2  1  10  0  1  
244  500  2  1  10  0  1  
245  502  2  1  10  0  1  
246  504  2  1  10  0  1  
247  506  2  1  10  0  1  
248  508  2  1  10  0  1  
249  510  2  1  10  0  1  
250  512  2  1  10  0  1  
251  514  2  1  10  0  1  
252  516  2  1  10  0  1  
253  518  2  1  10  0  1  
254  520  2  1  10  0  1  
255  522  2  1  10  0  1  
256  524  2  1  10  0  1  
257  526  2  1  10  0  1  
258  528  2  1  10  0  1  
259  530  2  1  10  0  1  
260  532  2  1  10  0  1  
261  534  2  1  10  0  1  
262  536  2  1  10  0  1  
263  538  2  1  10  0  1  
264  540  2  1  10  0  1  
265  542  2  1  10  0  1  
266  544  2  1  10  0  1  
267  546  2  1  10  0  1  
268  548  2  1  10  0  1  
269  550  2  1  10  0  1  
270  552  2  1  10  0  1  
271  554  2  1  10  0  1  
272  556  2  1  10  0  1  
273  558  2  1  10  0  1  
274  560  2  1  10  0  1  
275  562  2  1  10  0  1  
276  564  2  1  10  0  1  
277  566  2  1  10  0  1  
278  568  2  1  10  0  1  
279  570  2  1  10  0  1  
280  572  2  1  10  0  1  
281  574  2  1  10  0  1  
282  576  2  1  10  0  1  
283  578  2  1  10  0  1  
284  580  2  1  10  0  1  
285  582  2  1  10  0  1  
286  584  2  1  10  0  1  
287  586  2  1  10  0  1  
288  588  2  1  10  0  1  
289  590  2  1  10  0  1  
290  592  2  1  10  0  1  
291  594  2  1  10  0  1  
292  596  2  1  10  0  1  
293  598  2  1  10  0  1  
294  600  2  1  10  0  1  
295  602  2  1  10  0  1  
296  604  2  1  10  0  1  
297  606  2  1  10  0  1  
298  608  2  1  10  0  1  
299  610  2  1  10  0  1  
300  612  2  1  10  0  1  
301  614  2  1  10  0  1  
302  616  2  1  10  0  1  
303  618  2  1  10  0  1  
304  620  2  1  10  0  1  
305  622  2  1  10  0  1  
306  624  2  1  10  0  1  
307  626  2  1  10  0  1  
308  628  2  1  10  0  1  
309  630  2  1  10  0  1  
310  632  2  1  10  0  1  
311  634  2  1  10  0  1  
312  636  2  1  10  0  1  
313  638  2  1  10  0  1  
314  640  2  1  10  0  1  
315  642  2  1  10  0  1  
316  644  2  1  10  0  1  
317  646  2  1  10  0  1  
318  648  2  1  10  0  1  
319  650  2  1  10  0  1  
320  652  2  1  10  0  1  
321  654  2  1  10  0  1  
322  656  2  1  10  0  1  
323  658  2  1  10  0  1  
324  660  2  1  10  0  1  
325  662  2  1  10  0  1  
326  664  2  1  10  0  1  
327  666  2  1  10  0  1  
328  668  2  1  10  0  1  
329  670  2  1  10  0  1  
330  672  2  1  10  0  1  
331  674  2  1  10  0  1  
332  676  2  1  10  0  1  
333  678  2  1  10  0  1  
334  680  2  1  10  0  1  
335  682  2  1  10  0  1  
336  684  2  1  10  0  1  
337  686  2  1  10  0  1  
338  688  2  1  10  0  1  
339  690  2  1  10  0  1  
340  692  2  1  10  0  1  
341  694  2  1  10  0  1  
342  696  2  1  10  0  1  
343  698  2  1  10  0  1  
344  700  2  1  10  0  1  
345  702  2  1  10  0  1  
346  704  2  1  10  0  1  
347  706  2  1  10  0  1  
348  708  2  1  10  0  1  
349  710  2  1  10  0  1  
350  712  2  1  10  0  1  
351  714  2  1  10  0  1  
352  716  2  1  10  0  1  
353  718  2  1  10  0  1  
354  720  2  1  10  0  1  
355  722  2  1  10  0  1  
356  724  2  1  10  0  1  
357  726  2  1  10  0  1  
358  728  2  1  10  0  1  
359  730  2  1  10  0  1  
360  732  2  1  10  0  1  
361  734  2  1  10  0  1  
362  736  2  1  10  0  1  
363  738  2  1  10  0  1  
364  740  2  1  10  0  1  
365  742  2  1  10  0  1  
366  744  2  1  10  0  1  
367  746  2  1  10  0  1  
368  748  2  1  10  0  1  
369  750  2  1  10  0  1  
370  752  2  1  10  0  1  
371  754  2  1  10  0  1  
372  756  2  1  10  0  1  
373  758  2  1  10  0  1  
374  760  2  1  10  0  1  
375  762  2  1  10  0  1  
376  764  2  1  10  0  1  
