Timestep  Iteration  resNorm(0)  resNorm(1)  resNorm(2)  
1  1  1.0000000000000000  1.0000000000000000  0.0000000000000391  
1  2  0.0000000000000025  0.0000000000000046  0.0000000000000380  
2  1  0.2096411552259496  0.1898856603366036  1.5203545437182564  
2  2  0.0606397682158142  0.1072143781537241  1.3154431698690845  
2  3  0.0339218684523036  0.0608358592627404  0.8523840990557318  
2  4  0.0132478402103260  0.0241942545714903  0.6828735648975401  
2  5  0.0049940720245632  0.0091689810342303  0.5729997627604583  
2  6  0.0031981096018086  0.0058874770541924  0.4929518116928377  
2  7  0.0148248013729895  0.0276349867785074  0.0004339611342848  
2  8  0.0000084587750157  0.0000157204960043  0.0000552334513494  
2  9  0.0000009428200429  0.0000017517228246  0.0000020965883171  
2  10  0.0000000282314977  0.0000000521329668  0.0000011607155340  
2  11  0.0000000119374926  0.0000000220641162  0.0000001389383193  
2  12  0.0000000019276137  0.0000000035703232  0.0000000152841854  
2  13  0.0000000002087216  0.0000000003857311  0.0000000000000060  
2  14  0.0000000000000000  0.0000000000000002  0.0000000000000102  
3  1  0.1735134180380752  0.1597278212974007  1.5203545437182735  
3  2  0.0402266152249873  0.0735712268455008  1.0793849404304872  
3  3  0.0205240962183358  0.0381845951562175  0.7256127965596307  
3  4  0.0209515372676581  0.0396929243672971  0.0000172443131487  
3  5  0.0000004500229074  0.0000008434154331  0.0000147999523318  
3  6  0.0000002224986447  0.0000004172781976  0.0000006699804902  
3  7  0.0000000089657703  0.0000000168721359  0.0000001082375619  
3  8  0.0000000012109025  0.0000000022703809  0.0000000028523374  
3  9  0.0000000000454141  0.0000000000857608  0.0000000002808150  
3  10  0.0000000000069156  0.0000000000130788  0.0000000001666675  
3  11  0.0000000000025666  0.0000000000048523  0.0000000000140707  
3  12  0.0000000000001266  0.0000000000002377  0.0000000000002918  
4  1  0.1479631432416984  0.1378068471859941  1.5203545437183092  
4  2  0.0345047120863207  0.0641143521003739  1.0793842015175772  
4  3  0.0175540688166119  0.0331154351522595  0.7256120365520508  
4  4  0.0178664795401774  0.0342456977499878  0.0000000001318444  
4  5  0.0000000000023508  0.0000000000044146  0.0000000001335279  
4  6  0.0000000000012532  0.0000000000023549  0.0000000000051288  
4  7  0.0000000000000520  0.0000000000000980  0.0000000000003730  
5  1  0.1289511853715464  0.1211620053815480  1.5203545437182731  
5  2  0.0302037557888931  0.0568065831558473  1.0793842015190001  
5  3  0.0153327624729241  0.0292315217601626  0.7256120365526736  
5  4  0.0155707946225438  0.0301093704689323  0.0000000000001722  
5  5  0.0000000000000024  0.0000000000000043  0.0000000000001499  
6  1  0.1142580451404338  0.1080968299698075  1.5203545437182737  
6  2  0.0268539533525063  0.0509912791367355  1.0793842015189852  
6  3  0.0136092873492663  0.0261613159960721  0.7256120365526650  
6  4  0.0137966048914462  0.0268626083715633  0.0000000000002363  
6  5  0.0000000000000039  0.0000000000000073  0.0000000000002102  
7  1  0.1025648447233845  0.0975705446133982  1.5203545437182830  
7  2  0.0241717405530817  0.0462542754806680  1.0793842015189821  
7  3  0.0122334427767889  0.0236737470094007  0.7256120365526632  
7  4  0.0123846564735263  0.0242467732798611  0.0000000000001899  
7  5  0.0000000000000034  0.0000000000000067  0.0000000000001639  
8  1  0.0930392936795975  0.0889096388411140  1.5203545437183097  
8  2  0.0219759183858319  0.0423214806527623  1.0793842015189692  
8  3  0.0111098400946045  0.0216175530964859  0.7256120365526622  
8  4  0.0112344506918412  0.0220944944390370  0.0000000000003113  
8  5  0.0000000000000055  0.0000000000000110  0.0000000000002992  
9  1  0.0851305262645159  0.0816591936086100  1.5203545437183428  
9  2  0.0201453425184789  0.0390043408969195  1.0793842015189563  
9  3  0.0101750218052796  0.0198896033566999  0.7256120365526518  
9  4  0.0102794707683703  0.0202927221682456  0.0000000000003353  
9  5  0.0000000000000052  0.0000000000000100  0.0000000000003206  
10  1  0.0784595543590228  0.0755009453827418  1.5203545437183514  
10  2  0.0185959735128087  0.0361689187331250  1.0793842015189481  
10  3  0.0093851466421622  0.0184171833202387  0.7256120365526445  
10  4  0.0094739540670393  0.0187623663715718  0.0000000000003437  
10  5  0.0000000000000048  0.0000000000000094  0.0000000000003374  
