TimeWindow  Iteration  ResRel(Flux)  ResRel(Temperature)  
1  1  1.0000000000000000  1.0000000000000000  
1  2  0.2881799264566182  0.8888056366051381  
1  3  3.9238293315182671  0.1061759552488929  
1  4  2.4062110136255312  0.0495056462501734  
1  5  1.3267519363368385  0.0081968458746261  
1  6  0.1691063032132531  0.0004285052832957  
1  7  0.0082422882760776  0.0000268860996811  
1  8  0.0007565138981454  0.0000011183092761  
1  9  0.0000226456889002  0.0000000754684057  
1  10  0.0000029719553537  0.0000000895297863  
2  1  0.9175520780650116  0.1261916929854890  
2  2  0.7392274757354825  0.0092300631764575  
2  3  0.1533027790980431  0.0001202241857972  
2  4  0.0019693795308007  0.0000000000003082  
2  5  0.0000000000004026  0.0000000000001735  
3  1  0.7095995172071972  0.0783570908725827  
3  2  0.9654001940274447  0.2735374417945647  
3  3  3.7362320082754694  0.0523210869824787  
3  4  1.1895771481049482  0.0000000081068737  
3  5  0.0000001838082370  0.0000000000281871  
4  1  0.6157864501036818  0.0580004002209654  
4  2  0.4927914516561878  0.0009880421712872  
4  3  0.0025088058042481  0.0009742270866915  
4  4  0.0344590517304386  0.0000518669988957  
4  5  0.0019365414184224  0.0000000004259687  
4  6  0.0000000100884698  0.0000000000129630  
5  1  0.5796905197694024  0.0489790511734377  
5  2  0.5046896499497955  0.0030777847979573  
5  3  0.0748103335656130  0.0002543025009527  
5  4  0.0035737386703278  0.0003978085202986  
5  5  0.0099788402426438  0.0000000080353329  
5  6  0.0000001927307473  0.0000000000281321  
6  1  0.5652130449505619  0.0446543538402957  
6  2  0.4472759084673909  0.0000154453280477  
6  3  0.0006029322652658  0.0000004939319618  
6  4  0.0000121389041642  0.0000000017332589  
6  5  0.0000000680793712  0.0000000000230138  
7  1  0.5591201745252725  0.0423189514629493  
7  2  0.4418115741255767  0.0000039160064131  
7  3  0.0001267976167973  0.0000011655257371  
7  4  0.0000001421591691  0.0000011712084978  
8  1  0.5565312265409872  0.0408504109477527  
8  2  0.4394903068586831  0.0000035513217204  
8  3  0.0001831566630884  0.0000042234623696  
8  4  0.0000998539728546  0.0000000012515144  
8  5  0.0000000356855500  0.0000000000871721  
9  1  0.5553202078310352  0.0397728585335448  
9  2  0.4384724909542884  0.0000002887038188  
9  3  0.0000075846697451  0.0000000036557403  
10  1  0.5548068941621006  0.0388817806606345  
10  2  0.4380033614939433  0.0000000369880339  
10  3  0.0000021941758520  0.0000000151645012  
