TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
1  10  10  1  8  1  0  
2  15  5  1  10  1  1  
3  20  5  1  10  2  2  
4  26  6  1  10  3  2  
5  32  6  1  10  4  1  
6  37  5  1  10  3  1  
7  41  4  1  10  3  0  
8  46  5  1  10  3  1  
9  49  3  1  9  2  1  
10  52  3  1  9  1  1  
